gameID,treatmentName,text,time,round,recipient,sender.id,sender.name
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits and 2 squirrels,1705619996726,1,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see three rabbits,1705619998929,1,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620035826,1,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 bunnies 1 squirrel,1705620007750,1,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits and 2 squirrels,1705620052811,2,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see three rabbits,1705620055296,2,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620095843,2,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620065484,2,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits and 2 squirrels,1705620111130,3,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620146398,3,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,3 rabbits,1705620114747,3,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620126838,3,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620197132,4,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,3 rabbits,1705620164880,4,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620166567,4,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits 2 squirrels,1705620166314,4,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620247953,5,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits 2 squirrels,1705620213570,5,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,3 rabbits,1705620216669,5,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620218852,5,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620302937,6,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,3 rabbits,1705620271147,6,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620274138,6,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits 2 squirrels,1705620276121,6,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620348267,7,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620318331,7,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,3 rabbits,1705620318798,7,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,5 rabbits 2 squirrels,1705620324576,7,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,I see 6 rabbits and 2 squirrels,1705620408054,8,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,3 rabbits,1705620376882,8,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,6 rabbits 1 squirrel,1705620380066,8,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
