id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HNDBB67VM93M5JHWC7H9K8CB,01HNDBB5YME857E2XX09B5GK7N,2024-01-30T14:11:07.131995537Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:11:07.131995537Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:07.131995537Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:07.131995537Z,01HNDBB5TSGQR9Q34C1XJJWKC4,2024-01-30T14:11:07.131995537Z,,,,
01HNDBB67W6EV28C4RSH5V5H05,01HNDBB5YME857E2XX09B5GK7N,2024-01-30T14:11:07.132613453Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:11:07.132613453Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:07.132613453Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:07.132613453Z,01HNDBB5TSGQR9Q34C1XJJWKC4,2024-01-30T14:11:07.132613453Z,0,2024-01-30T14:11:32.682669452Z,true,2024-01-30T14:11:32.686180355Z
01HNDBB67YH47E3TSASQTS24DG,01HNDBB5YME857E2XX09B5GK7N,2024-01-30T14:11:07.134361686Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:11:07.134361686Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:07.134361686Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:07.134361686Z,01HNDBB5TSGQR9Q34C1XJJWKC4,2024-01-30T14:11:07.134361686Z,0,2024-01-30T14:11:27.829141139Z,true,2024-01-30T14:11:27.831500107Z
01HNDBB67YH47E3TSAT65VJT4H,01HNDBB5YME857E2XX09B5GK7N,2024-01-30T14:11:07.135038089Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:11:07.135038089Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:07.135038089Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:07.135038089Z,01HNDBB5TSGQR9Q34C1XJJWKC4,2024-01-30T14:11:07.135038089Z,0,2024-01-30T14:11:14.757732865Z,true,2024-01-30T14:11:14.76641147Z
01HNDBC3N53M4740THDK8X0SVB,01HNDBB5XDBTJ5X0WEDYHCCVKF,2024-01-30T14:11:37.253921862Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:11:37.253921862Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:37.253921862Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:37.253921862Z,01HNDBB5TVTD8AT8JQ41TCAGZ1,2024-01-30T14:11:37.253921862Z,0,2024-01-30T14:11:44.383401855Z,true,2024-01-30T14:11:44.385716818Z
01HNDBC3N6JEJ95W1YQ0B1RXYX,01HNDBB5XDBTJ5X0WEDYHCCVKF,2024-01-30T14:11:37.254699649Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:11:37.254699649Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:37.254699649Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:37.254699649Z,01HNDBB5TVTD8AT8JQ41TCAGZ1,2024-01-30T14:11:37.254699649Z,0,2024-01-30T14:11:44.032760531Z,true,2024-01-30T14:11:44.034696179Z
01HNDBC3N8ASZ5XZCX4JN2NGFR,01HNDBB5XDBTJ5X0WEDYHCCVKF,2024-01-30T14:11:37.256099025Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:11:37.256099025Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:37.256099025Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:37.256099025Z,01HNDBB5TVTD8AT8JQ41TCAGZ1,2024-01-30T14:11:37.256099025Z,8,2024-01-30T14:12:03.116491261Z,true,2024-01-30T14:12:03.132582052Z
01HNDBC3N8ASZ5XZCX4V1KSBD8,01HNDBB5XDBTJ5X0WEDYHCCVKF,2024-01-30T14:11:37.257045973Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:11:37.257045973Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:11:37.257045973Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:11:37.257045973Z,01HNDBB5TVTD8AT8JQ41TCAGZ1,2024-01-30T14:11:37.257045973Z,0,2024-01-30T14:11:42.743897419Z,true,2024-01-30T14:11:42.744982064Z
01HNDBCX1EARQ4MZMN83WM69HW,01HNDBB5XHH3DCG1P67YGV10YX,2024-01-30T14:12:03.246066782Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:12:03.246066782Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:03.246066782Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:03.246066782Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:12:03.246066782Z,0,2024-01-30T14:12:07.544132269Z,true,2024-01-30T14:12:07.546779014Z
01HNDBCX1FDMEQ0DT806FGRDDN,01HNDBB5XHH3DCG1P67YGV10YX,2024-01-30T14:12:03.247158223Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:12:03.247158223Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:03.247158223Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:03.247158223Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:12:03.247158223Z,71,2024-01-30T14:12:12.296537393Z,true,2024-01-30T14:12:12.312701937Z
01HNDBCX1G3FQQVPE7EDE0EVHC,01HNDBB5XHH3DCG1P67YGV10YX,2024-01-30T14:12:03.248555676Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:12:03.248555676Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:03.248555676Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:03.248555676Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:12:03.248555676Z,0,2024-01-30T14:12:11.274759523Z,true,2024-01-30T14:12:11.275650601Z
01HNDBCX1HH65P0DAAZS4GRY10,01HNDBB5XHH3DCG1P67YGV10YX,2024-01-30T14:12:03.249492508Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:12:03.249492508Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:03.249492508Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:03.249492508Z,01HNDBB5TWB0C01XN35F58M5NV,2024-01-30T14:12:03.249492508Z,0,2024-01-30T14:12:18.482676223Z,true,2024-01-30T14:12:18.650865353Z
