id,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt
01HNDC3SC5XQJW0VW8HTNKVME9,true,2024-01-30T14:24:38.450327965Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:33.157662544Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:33.157662544Z,01HNDC3RVK5GGZ57A99Q07T3BG,2024-01-30T14:24:33.157662544Z,01HNDC3RYNGXRE24NAAQQNGDGX,2024-01-30T14:24:33.157662544Z,01HNDC2H97MM64929JJZXZ4620,2024-01-30T14:24:33.157662544Z,0,2024-01-30T14:24:38.442035006Z
01HNDC3SC80V4KSPZ9W8SNWDRA,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:33.160246526Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:33.160246526Z,01HNDC3RVK5GGZ57A99Q07T3BG,2024-01-30T14:24:33.160246526Z,01HNDC3RYNGXRE24NAAQQNGDGX,2024-01-30T14:24:33.160246526Z,01HNDC2D2TFSMXE4B7XCE0TZ55,2024-01-30T14:24:33.160246526Z,,
01HNDC3SCCYTSGD5PKBE0C8D2H,true,2024-01-30T14:24:46.39493672Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:33.164380159Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:33.164380159Z,01HNDC3RVK5GGZ57A99Q07T3BG,2024-01-30T14:24:33.164380159Z,01HNDC3RYNGXRE24NAAQQNGDGX,2024-01-30T14:24:33.164380159Z,01HNDC30EDNEK5D4SPK46XX8X8,2024-01-30T14:24:33.164380159Z,25,2024-01-30T14:24:46.39163548Z
01HNDC3SCETNJ8TFS4ZJFE9VZS,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:33.166217386Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:33.166217386Z,01HNDC3RVK5GGZ57A99Q07T3BG,2024-01-30T14:24:33.166217386Z,01HNDC3RYNGXRE24NAAQQNGDGX,2024-01-30T14:24:33.166217386Z,01HNDC2FA3VYEHGW3KZ6J12D0S,2024-01-30T14:24:33.166217386Z,,
01HNDC4EFWMAMWS4DFBSH00YEV,,,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.780729177Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.780729177Z,01HNDC4E1D1G5G1W236NYAWBJG,2024-01-30T14:24:54.780729177Z,01HNDC4E3WCNBY2G9YC1D5F0H6,2024-01-30T14:24:54.780729177Z,01HNDC2ANR1XXE71NH09663030,2024-01-30T14:24:54.780729177Z,,
01HNDC4EFY6H08SGY089H42TRW,true,2024-01-30T14:25:02.920881911Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.782547352Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.782547352Z,01HNDC4E1D1G5G1W236NYAWBJG,2024-01-30T14:24:54.782547352Z,01HNDC4E3WCNBY2G9YC1D5F0H6,2024-01-30T14:24:54.782547352Z,01HNDC38V2G93RE564GF430461,2024-01-30T14:24:54.782547352Z,0,2024-01-30T14:25:02.914103715Z
01HNDC4EG0TRFFR3BKEHX8AH93,true,2024-01-30T14:25:15.211730089Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.784211465Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.784211465Z,01HNDC4E1D1G5G1W236NYAWBJG,2024-01-30T14:24:54.784211465Z,01HNDC4E3WCNBY2G9YC1D5F0H6,2024-01-30T14:24:54.784211465Z,01HNDC31WYP14N9WEZ0NCMDYTR,2024-01-30T14:24:54.784211465Z,15,2024-01-30T14:25:15.057400339Z
01HNDC4EG2GNZ2B6ZS1WCA4Q08,true,2024-01-30T14:25:19.041713172Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.78684005Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.78684005Z,01HNDC4E1D1G5G1W236NYAWBJG,2024-01-30T14:24:54.78684005Z,01HNDC4E3WCNBY2G9YC1D5F0H6,2024-01-30T14:24:54.78684005Z,01HNDC2BWH5SYS98M56DZ07EEP,2024-01-30T14:24:54.78684005Z,25,2024-01-30T14:25:19.03743064Z
01HNDC4PSVDW7Q1756WMNR4J4K,true,2024-01-30T14:25:22.427107459Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:03.291632364Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:03.291632364Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:25:03.291632364Z,01HNDC3RZKY0X2CE4H5QNEH932,2024-01-30T14:25:03.291632364Z,01HNDC2D2TFSMXE4B7XCE0TZ55,2024-01-30T14:25:03.291632364Z,50,2024-01-30T14:25:22.259239483Z
01HNDC4PSXEGPH61FKDFDB6BWJ,true,2024-01-30T14:25:08.519613612Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:03.293587567Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:03.293587567Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:25:03.293587567Z,01HNDC3RZKY0X2CE4H5QNEH932,2024-01-30T14:25:03.293587567Z,01HNDC30EDNEK5D4SPK46XX8X8,2024-01-30T14:25:03.293587567Z,25,2024-01-30T14:25:08.516499482Z
01HNDC4PSZESJQGQB86BTZ15GM,true,2024-01-30T14:25:29.63676309Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:03.295860243Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:03.295860243Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:25:03.295860243Z,01HNDC3RZKY0X2CE4H5QNEH932,2024-01-30T14:25:03.295860243Z,01HNDC2FA3VYEHGW3KZ6J12D0S,2024-01-30T14:25:03.295860243Z,25,2024-01-30T14:25:29.394086122Z
01HNDC4PT13KDRZNZS2GY6HP5X,true,2024-01-30T14:25:27.446519407Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:03.297366233Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:03.297366233Z,01HNDC3RVTJENSJAXM46EPJ78P,2024-01-30T14:25:03.297366233Z,01HNDC3RZKY0X2CE4H5QNEH932,2024-01-30T14:25:03.297366233Z,01HNDC2H97MM64929JJZXZ4620,2024-01-30T14:25:03.297366233Z,0,2024-01-30T14:25:27.435698715Z
01HNDC5BWRSEM30BT4QG1BYKYK,true,2024-01-30T14:25:41.739203821Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:24.888917687Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:24.888917687Z,01HNDC4E23ZNQDPHACJFGY8YSS,2024-01-30T14:25:24.888917687Z,01HNDC4E9FDAS1BKEHF6WPS8P7,2024-01-30T14:25:24.888917687Z,01HNDC38V2G93RE564GF430461,2024-01-30T14:25:24.888917687Z,20,2024-01-30T14:25:41.736759912Z
