id,name,nameLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt
01HNDC3RVK5GGZ57A99Q07T3BG,Round 1 / 9,2024-01-30T14:24:32.627583695Z,Chat,2024-01-30T14:24:32.627583695Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.627583695Z,true,2024-01-30T14:24:32.791028566Z,true,2024-01-30T14:25:03.214375241Z,1,2024-01-30T14:24:32.723086046Z,1,2024-01-30T14:24:32.627583695Z,0,2024-01-30T14:24:32.627583695Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.627583695Z
01HNDC3RVN0FAV4FZZKMS40ZKW,Round 7 / 9,2024-01-30T14:24:32.629838792Z,Chat,2024-01-30T14:24:32.629838792Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.629838792Z,true,2024-01-30T14:27:00.692085613Z,true,2024-01-30T14:27:14.861562184Z,1,2024-01-30T14:24:32.937757794Z,7,2024-01-30T14:24:32.629838792Z,6,2024-01-30T14:24:32.629838792Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.629838792Z
01HNDC3RVRAA65GMNM9VGNAWB9,Round 3 / 9,2024-01-30T14:24:32.632346317Z,Chat,2024-01-30T14:24:32.632346317Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.632346317Z,true,2024-01-30T14:25:29.680358949Z,true,2024-01-30T14:25:59.787917914Z,1,2024-01-30T14:24:32.757390518Z,3,2024-01-30T14:24:32.632346317Z,2,2024-01-30T14:24:32.632346317Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.632346317Z
01HNDC3RVTJENSJAXM46EPJ78P,Round 2 / 9,2024-01-30T14:24:32.634727659Z,Chat,2024-01-30T14:24:32.634727659Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.634727659Z,true,2024-01-30T14:25:03.231294708Z,true,2024-01-30T14:25:29.664300602Z,1,2024-01-30T14:24:32.757390518Z,2,2024-01-30T14:24:32.634727659Z,1,2024-01-30T14:24:32.634727659Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.634727659Z
01HNDC3RW164QMBJ7423VWW4GW,Round 5 / 9,2024-01-30T14:24:32.641203024Z,Chat,2024-01-30T14:24:32.641203024Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.641203024Z,true,2024-01-30T14:26:18.517002782Z,true,2024-01-30T14:26:43.888789827Z,1,2024-01-30T14:24:32.723086046Z,5,2024-01-30T14:24:32.641203024Z,4,2024-01-30T14:24:32.641203024Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.641203024Z
01HNDC3RW3WHQ4ETH8K6R783WZ,Round 4 / 9,2024-01-30T14:24:32.643593072Z,Chat,2024-01-30T14:24:32.643593072Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.643593072Z,true,2024-01-30T14:25:59.80599937Z,true,2024-01-30T14:26:18.501665596Z,1,2024-01-30T14:24:32.723086046Z,4,2024-01-30T14:24:32.643593072Z,3,2024-01-30T14:24:32.643593072Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.643593072Z
01HNDC3RWFBQ66170NKMQ6WPTT,Round 6 / 9,2024-01-30T14:24:32.658441293Z,Chat,2024-01-30T14:24:32.658441293Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.658441293Z,true,2024-01-30T14:26:43.912891123Z,true,2024-01-30T14:27:00.672499036Z,1,2024-01-30T14:24:32.940332999Z,6,2024-01-30T14:24:32.658441293Z,5,2024-01-30T14:24:32.658441293Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.658441293Z
01HNDC3RWNQHY1QMFFJ3605PAT,Round 8 / 9,2024-01-30T14:24:32.661369851Z,Chat,2024-01-30T14:24:32.661369851Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.661369851Z,true,2024-01-30T14:27:14.89034374Z,true,2024-01-30T14:27:28.320748417Z,1,2024-01-30T14:24:32.739850192Z,8,2024-01-30T14:24:32.661369851Z,7,2024-01-30T14:24:32.661369851Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.661369851Z
01HNDC3RWPF22NTRJD423CC5BY,Round 9 / 9,2024-01-30T14:24:32.663048445Z,Chat,2024-01-30T14:24:32.663048445Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:24:32.663048445Z,true,2024-01-30T14:27:28.343098369Z,true,2024-01-30T14:27:36.403343403Z,1,2024-01-30T14:24:32.739850192Z,9,2024-01-30T14:24:32.663048445Z,8,2024-01-30T14:24:32.663048445Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:24:32.663048445Z
01HNDC4E1D1G5G1W236NYAWBJG,Round 1 / 9,2024-01-30T14:24:54.317210005Z,Chat,2024-01-30T14:24:54.317210005Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:54.317210005Z,true,2024-01-30T14:24:54.509156934Z,true,2024-01-30T14:25:24.827053096Z,1,2024-01-30T14:24:54.399647918Z,1,2024-01-30T14:24:54.317210005Z,0,2024-01-30T14:24:54.317210005Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:24:54.317210005Z
