coding,text,round,recipient,sender.id,gameID,treatmentName
n,2 rabbits,1,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabits only,1,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,i see 1 rabbit and 1 squirl,1,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n?,no squirl?,1,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n?,what do you see?,1,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
m,No,1,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
m,ok,1,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,i see 2 rabbit 1 squirrel,2,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabitts only,2,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,2,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
m,sorry,2,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squir;l,2,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n?,any other animals?,2,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,no i see 1 rabbit 1 squirrel,2,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabitts,3,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squirrel,3,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,3,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,5 rabbits,3,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squirrel,4,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabitts,4,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,4,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,"5 rabbits, 1 squirrel",4,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squirrel,5,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabitts,5,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,5 rabbits,5,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,5,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabitts,6,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,6,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squirrel,6,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 squirrel,6,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squirrel,7,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,5 rabbits,7,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,7,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabitts,7,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
m?,have i spoke to u before,7,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,5 rabbits,8,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabbits,8,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 suirrel,8,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,8,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,1 rabbit 1 squireel,9,01HN8WVXFEX730WAJDDJWD9D7C,01HN8WQEJZRX09DPVACEVBQB5A,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,3 rabbtis,9,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8WVXFEX730WAJDDJWD9D7C,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,2 rabbits,9,01HN8WFS0FP014KCJK7JJDSJQP,01HN8WWNZQ0VB9XQN3V18JVK1F,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,5 rabbits 1 squirrel,9,01HN8WQEJZRX09DPVACEVBQB5A,01HN8WFS0FP014KCJK7JJDSJQP,01HN8VW4M051ARWX18T7EKNNT8,experiment2-interactive
n,I see nothing,1,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8X282NVVR6E44GGSNJ99ZP,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,i see three rabbits and a squirrel,1,01HN8WVT6H7ER66EH9TZRVFX07,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,1,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,2,01HN8X282NVVR6E44GGSNJ99ZP,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,three rabbbits and a squirrel,2,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,i see 5 rabbit and 2 squirrels,2,01HN8WVT6H7ER66EH9TZRVFX07,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see nothing,2,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8X282NVVR6E44GGSNJ99ZP,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,2,01HN8X282NVVR6E44GGSNJ99ZP,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see nothing,3,01HN8WVT6H7ER66EH9TZRVFX07,01HN8X282NVVR6E44GGSNJ99ZP,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,3,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,3 rabbits and 1 squirrel,3,01HN8X282NVVR6E44GGSNJ99ZP,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,5 rabbit 2 squirrel,3,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,4,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,3 rabbits and 1 squirrel,4,01HN8WVT6H7ER66EH9TZRVFX07,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see nothing again,4,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8X282NVVR6E44GGSNJ99ZP,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,5 rabbit 2 squirrel,4,01HN8X282NVVR6E44GGSNJ99ZP,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see nothing,5,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8X282NVVR6E44GGSNJ99ZP,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,5,01HN8X282NVVR6E44GGSNJ99ZP,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,5 rabbits 2 squirrels,5,01HN8WVT6H7ER66EH9TZRVFX07,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,3 rabbits and 1 squirrel,5,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,3 rabbits and 1 squirrel,6,01HN8X282NVVR6E44GGSNJ99ZP,01HN8X1KP5TGHQK6BQ71TJR8E5,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,I see 4 rabbits,6,01HN8WXV114P8JEJGK5G1MH3Q0,01HN8WVT6H7ER66EH9TZRVFX07,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
n,nothing,6,01HN8WVT6H7ER66EH9TZRVFX07,01HN8X282NVVR6E44GGSNJ99ZP,01HN8VW75MDMST7DFQ91AXRDPK,experiment2-interactive
