"","text","time","round","recipient","sender.id","sender.name","groupID","treatmentName"
"1","There are 2 rabbits, no other animals",1713471341435,1,"01HVSDF9Q1NX6M632F4ZAVKFWB","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"2","i can see 3 rabbits and 1 squirrel",1713471344081,1,"01HVSDCK79AC5R26CR9ZT9WRC0","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"3","There are 2 rabbits",1713471396405,2,"01HVSDH7FFYJD4H2DBWBVBKHTP","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"4","i can see 3 rabbits and 1 squirrel",1713471399905,2,"01HVSDEP9426S7Y9TDP0DD75DT","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"5","I see 2 rabbits",1713471445850,3,"01HVSDHQ73RYFKPTX7RHFHAKF2","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"6","3 rabbits and 1 squirrel",1713471449144,3,"01HVSDF9Q1NX6M632F4ZAVKFWB","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"7","I see 2 rabbits",1713471487635,4,"01HVSD7680PC7Q6NKVJ6MGHZQ3","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"8","3 rabbits, 1 squirrel",1713471489247,4,"01HVSDH7FFYJD4H2DBWBVBKHTP","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"9","Hello??",1713471506623,4,"01HVSD7680PC7Q6NKVJ6MGHZQ3","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"10","I can see 2 rabbits",1713471532863,5,"01HVSD7KNMTR3G9EX8AFBR0XS0","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"11","i see 3 rabbits and 1 squirrel",1713471535942,5,"01HVSDHQ73RYFKPTX7RHFHAKF2","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"12","What can you see?",1713471544365,5,"01HVSD7KNMTR3G9EX8AFBR0XS0","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"13","??",1713471549338,5,"01HVSD7KNMTR3G9EX8AFBR0XS0","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"14","There are 2 rabbits",1713471576253,6,"01HVSDEP9426S7Y9TDP0DD75DT","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"15","i see 3 rabbits and 1 squirrel",1713471580269,6,"01HVSD7KNMTR3G9EX8AFBR0XS0","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"16","I can see 2 rabbits",1713471616313,7,"01HVSDF9Q1NX6M632F4ZAVKFWB","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"17","i see 3 rabbits and 1 squirrel",1713471620091,7,"01HVSDCK79AC5R26CR9ZT9WRC0","01HVSD7680PC7Q6NKVJ6MGHZQ3","player 1","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"18","Cool",1713471626665,7,"01HVSDF9Q1NX6M632F4ZAVKFWB","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
"19","You're the only person answering",1713471638611,7,"01HVSDF9Q1NX6M632F4ZAVKFWB","01HVSDCK79AC5R26CR9ZT9WRC0","player 3","01HVSCMV2H420GY45RAV9YF2YE","rerun-interactive- 0.7"
