"","gameID","roundID","playerID","guess","idx","treatmentName","nSquirrels","nRabbits"
"1","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCDMYGB22YYFQ6GVXBB","01HN8WT5FY22ZT4J7X4VVXCHKB",NA,1,"experiment2-slider-0.7",2,5
"2","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCDMYGB22YYFQ6GVXBB","01HN8WH3THS26GR664GHZ4SJVH",80,1,"experiment2-slider-0.7",1,7
"3","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCDMYGB22YYFQ6GVXBB","01HN8WKAMZASB0QZ4J9133AV7J",NA,1,"experiment2-slider-0.7",1,6
"4","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCDMYGB22YYFQ6GVXBB","01HN8WKCFXXW3159FQBM9SSZ1S",NA,1,"experiment2-slider-0.7",4,2
"5","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCFST9Y2D4FGDQCPH0K","01HN8WH3THS26GR664GHZ4SJVH",90,2,"experiment2-slider-0.7",1,7
"6","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCFST9Y2D4FGDQCPH0K","01HN8WKAMZASB0QZ4J9133AV7J",NA,2,"experiment2-slider-0.7",1,6
"7","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCFST9Y2D4FGDQCPH0K","01HN8WT5FY22ZT4J7X4VVXCHKB",80,2,"experiment2-slider-0.7",2,5
"8","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCFST9Y2D4FGDQCPH0K","01HN8WKCFXXW3159FQBM9SSZ1S",NA,2,"experiment2-slider-0.7",4,2
"9","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JCQXTD7V8","01HN8WH3THS26GR664GHZ4SJVH",90,3,"experiment2-slider-0.7",1,7
"10","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JCQXTD7V8","01HN8WKCFXXW3159FQBM9SSZ1S",NA,3,"experiment2-slider-0.7",4,2
"11","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JCQXTD7V8","01HN8WKAMZASB0QZ4J9133AV7J",5,3,"experiment2-slider-0.7",1,6
"12","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JCQXTD7V8","01HN8WT5FY22ZT4J7X4VVXCHKB",85,3,"experiment2-slider-0.7",2,5
"13","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WVXFEX730WAJDDJWD9D7C",NA,1,"experiment2-interactive-0.7",0,3
"14","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WFS0FP014KCJK7JJDSJQP",NA,1,"experiment2-interactive-0.7",1,5
"15","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WWNZQ0VB9XQN3V18JVK1F",NA,1,"experiment2-interactive-0.7",0,2
"16","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WQEJZRX09DPVACEVBQB5A",NA,1,"experiment2-interactive-0.7",1,1
"17","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCG2766SVRXZ91N8JD2","01HN8WH3THS26GR664GHZ4SJVH",85,4,"experiment2-slider-0.7",1,7
"18","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCG2766SVRXZ91N8JD2","01HN8WKAMZASB0QZ4J9133AV7J",7,4,"experiment2-slider-0.7",1,6
"19","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCG2766SVRXZ91N8JD2","01HN8WT5FY22ZT4J7X4VVXCHKB",90,4,"experiment2-slider-0.7",2,5
"20","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCG2766SVRXZ91N8JD2","01HN8WKCFXXW3159FQBM9SSZ1S",NA,4,"experiment2-slider-0.7",4,2
"21","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WQEJZRX09DPVACEVBQB5A",NA,1,"experiment2-interactive-0.7",1,1
"22","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WFS0FP014KCJK7JJDSJQP",NA,1,"experiment2-interactive-0.7",1,5
"23","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WWNZQ0VB9XQN3V18JVK1F",75,1,"experiment2-interactive-0.7",0,2
"24","01HN8VW4M051ARWX18T7EKNNT8","01HN8X1CNYZ2MV87SAE4D7EKR1","01HN8WVXFEX730WAJDDJWD9D7C",100,1,"experiment2-interactive-0.7",0,3
"25","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JC9F9FWBW","01HN8WKCFXXW3159FQBM9SSZ1S",NA,5,"experiment2-slider-0.7",4,2
"26","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JC9F9FWBW","01HN8WT5FY22ZT4J7X4VVXCHKB",80,5,"experiment2-slider-0.7",2,5
"27","01HN8VW4M12YPXWM797PV50HD0","01HN8WZHCKF3J9H60JC9F9FWBW","01HN8WH3THS26GR664GHZ4SJVH",85,5,"experiment2-slider-0.7",1,7
