id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,playerID,playerIDLastChangedAt
01HMFDA9SDZPZ4DNN45N1FJ47B,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.18921275Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.18921275Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.18921275Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:08:22.18921275Z
01HMFDA9SG52MKYYGPXBW6QTAK,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.192882434Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.192882434Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.192882434Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:08:22.192882434Z
01HMFDA9SRJY0J0AYZHSB26RFA,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.200444217Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.200444217Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.200444217Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:08:22.200444217Z
01HMFDA9SWWBV1Z9VHA2KTMGVQ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.204758086Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.204758086Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.204758086Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:08:22.204758086Z
01HMFDBG28NR0RSAQCAP6YRWC0,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.384295748Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.384295748Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.384295748Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:09:01.384295748Z
01HMFDBG2ENHPDWWN21W0JJJAJ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.390784147Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.390784147Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.390784147Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:09:01.390784147Z
01HMFDBG2TK20F6QTVF168G08M,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.402108941Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.402108941Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.402108941Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:09:01.402108941Z
01HMFDBG30ATRD6KCG10NXNAGJ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.408734808Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.408734808Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.408734808Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:09:01.408734808Z
01HMFDD2WQNJAZZXKVXNX575P3,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:53.431733652Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:53.431733652Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:09:53.431733652Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:09:53.431733652Z
01HMFDD2WXASH8T6NJFXSC10ES,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:53.43796617Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:53.43796617Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:09:53.43796617Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:09:53.43796617Z
