id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HMFDA9TYFCEX7A08CMV0X0GA,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.238101613Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.238101613Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.238101613Z,01HMFDA9FJ81DEGCF009M7RVHA,2024-01-18T23:08:22.238101613Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:08:22.238101613Z,,,,
01HMFDA9V201346SZGS876Q4FJ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.242406562Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.242406562Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.242406562Z,01HMFDA9FJ81DEGCF009M7RVHA,2024-01-18T23:08:22.242406562Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:08:22.242406562Z,,,,
01HMFDA9V6QMT8M4311RNF2Q0W,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.246531406Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.246531406Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.246531406Z,01HMFDA9FJ81DEGCF009M7RVHA,2024-01-18T23:08:22.246531406Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:08:22.246531406Z,,,,
01HMFDA9VCNK2E1VBH5GKJCT1J,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:22.252409338Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:22.252409338Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:22.252409338Z,01HMFDA9FJ81DEGCF009M7RVHA,2024-01-18T23:08:22.252409338Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:08:22.252409338Z,,,,
01HMFDB76GZYKN2R8KWQEYT3BR,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:52.304517268Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:52.304517268Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:52.304517268Z,01HMFDA9FKANDE8RVXDAJB4EAQ,2024-01-18T23:08:52.304517268Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:08:52.304517268Z,88,2024-01-18T23:08:56.911823059Z,true,2024-01-18T23:08:56.912094846Z
01HMFDB76PX7ZDZT30JAT2539A,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:52.311108724Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:52.311108724Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:52.311108724Z,01HMFDA9FKANDE8RVXDAJB4EAQ,2024-01-18T23:08:52.311108724Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:08:52.311108724Z,21,2024-01-18T23:08:56.963509688Z,true,2024-01-18T23:08:56.962993462Z
01HMFDB76ZYJNXHZD33H1KHNMA,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:52.31912919Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:52.31912919Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:52.31912919Z,01HMFDA9FKANDE8RVXDAJB4EAQ,2024-01-18T23:08:52.31912919Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:08:52.31912919Z,78,2024-01-18T23:09:01.340247691Z,true,2024-01-18T23:09:01.340787302Z
01HMFDB776ES7J2SNZSDF3KVW2,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:52.326541864Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:52.326541864Z,01HMFDA9BW46WSC2QZNJ6NCSTY,2024-01-18T23:08:52.326541864Z,01HMFDA9FKANDE8RVXDAJB4EAQ,2024-01-18T23:08:52.326541864Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:08:52.326541864Z,18,2024-01-18T23:08:56.397682402Z,true,2024-01-18T23:08:56.397142333Z
01HMFDBG4BHAVT1A4RBA955G4P,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.451460627Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.451460627Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.451460627Z,01HMFDA9FKANDE8RVXE3H9NCT7,2024-01-18T23:09:01.451460627Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:09:01.451460627Z,,,,
01HMFDBG4KBRSJZ3V7Y5ESGAA8,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:09:01.459532204Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:09:01.459532204Z,01HMFDA9BX88MKGW8D6YR4K5V0,2024-01-18T23:09:01.459532204Z,01HMFDA9FKANDE8RVXE3H9NCT7,2024-01-18T23:09:01.459532204Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:09:01.459532204Z,,,,
