id,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt
01HMFDA9BW46WSC2QZNJ6NCSTY,2,2024-01-18T23:08:21.879045061Z,Round 1 / 9,2024-01-18T23:08:21.756272357Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.756272357Z,true,2024-01-18T23:09:01.362526026Z,1,2024-01-18T23:08:21.756272357Z,0,2024-01-18T23:08:21.756272357Z,Chat,2024-01-18T23:08:21.756272357Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.756272357Z,true,2024-01-18T23:08:22.032308152Z
01HMFDA9BW46WSC2QZP437H4SF,2,2024-01-18T23:08:21.873076007Z,Round 5 / 9,2024-01-18T23:08:21.756729024Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.756729024Z,true,2024-01-18T23:11:53.285318444Z,5,2024-01-18T23:08:21.756729024Z,4,2024-01-18T23:08:21.756729024Z,Chat,2024-01-18T23:08:21.756729024Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.756729024Z,true,2024-01-18T23:11:15.632469714Z
01HMFDA9BX88MKGW8D5ZEXMPFQ,2,2024-01-18T23:08:21.879843101Z,Round 6 / 9,2024-01-18T23:08:21.757079706Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.757079706Z,true,2024-01-18T23:12:53.443484522Z,6,2024-01-18T23:08:21.757079706Z,5,2024-01-18T23:08:21.757079706Z,Chat,2024-01-18T23:08:21.757079706Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.757079706Z,true,2024-01-18T23:11:53.295751224Z
01HMFDA9BX88MKGW8D67BBV57A,2,2024-01-18T23:08:21.870976039Z,Round 3 / 9,2024-01-18T23:08:21.757328598Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.757328598Z,true,2024-01-18T23:10:32.864853979Z,3,2024-01-18T23:08:21.757328598Z,2,2024-01-18T23:08:21.757328598Z,Chat,2024-01-18T23:08:21.757328598Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.757328598Z,true,2024-01-18T23:09:53.423498073Z
01HMFDA9BX88MKGW8D6YR4K5V0,2,2024-01-18T23:08:21.870976039Z,Round 2 / 9,2024-01-18T23:08:21.757623479Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.757623479Z,true,2024-01-18T23:09:53.410256232Z,2,2024-01-18T23:08:21.757623479Z,1,2024-01-18T23:08:21.757623479Z,Chat,2024-01-18T23:08:21.757623479Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.757623479Z,true,2024-01-18T23:09:01.376512064Z
01HMFDA9BX88MKGW8D7G33GXHF,2,2024-01-18T23:08:21.876790122Z,Round 4 / 9,2024-01-18T23:08:21.757912313Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.757912313Z,true,2024-01-18T23:11:15.623485934Z,4,2024-01-18T23:08:21.757912313Z,3,2024-01-18T23:08:21.757912313Z,Chat,2024-01-18T23:08:21.757912313Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.757912313Z,true,2024-01-18T23:10:32.879487722Z
01HMFDA9BYCG9KDWN22787G1HZ,2,2024-01-18T23:08:21.876790122Z,Round 8 / 9,2024-01-18T23:08:21.758232708Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.758232708Z,true,2024-01-18T23:14:28.164629194Z,8,2024-01-18T23:08:21.758232708Z,7,2024-01-18T23:08:21.758232708Z,Chat,2024-01-18T23:08:21.758232708Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.758232708Z,true,2024-01-18T23:13:41.018202094Z
01HMFDA9BYCG9KDWN22PGFTKZG,2,2024-01-18T23:08:21.876790122Z,Round 7 / 9,2024-01-18T23:08:21.758575922Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.758575922Z,true,2024-01-18T23:13:41.00750897Z,7,2024-01-18T23:08:21.758575922Z,6,2024-01-18T23:08:21.758575922Z,Chat,2024-01-18T23:08:21.758575922Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.758575922Z,true,2024-01-18T23:12:53.457580403Z
01HMFDA9BZAHYKWQJ0JKN07CBV,2,2024-01-18T23:08:22.016814432Z,Round 9 / 9,2024-01-18T23:08:21.759516849Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.759516849Z,true,2024-01-18T23:15:28.323524777Z,9,2024-01-18T23:08:21.759516849Z,8,2024-01-18T23:08:21.759516849Z,Chat,2024-01-18T23:08:21.759516849Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.759516849Z,true,2024-01-18T23:14:28.175924171Z
01HMFDZ8K8CMYJ3EK3Q2TTQRMX,2,2024-01-18T23:19:49.240098239Z,Round 1 / 9,2024-01-18T23:19:49.096115618Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.096115618Z,true,2024-01-18T23:20:45.557488247Z,1,2024-01-18T23:19:49.096115618Z,0,2024-01-18T23:19:49.096115618Z,Chat,2024-01-18T23:19:49.096115618Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.096115618Z,true,2024-01-18T23:19:49.371160037Z
01HMFDZ8K9278BE70Z3DQ7QGTV,2,2024-01-18T23:19:49.237069713Z,Round 9 / 9,2024-01-18T23:19:49.097315569Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.097315569Z,true,2024-01-18T23:27:58.184769008Z,9,2024-01-18T23:19:49.097315569Z,8,2024-01-18T23:19:49.097315569Z,Chat,2024-01-18T23:19:49.097315569Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.097315569Z,true,2024-01-18T23:27:07.413308248Z
01HMFDZ8KCT2EJV6ZFJVKXFBJ5,2,2024-01-18T23:19:49.237069713Z,Round 8 / 9,2024-01-18T23:19:49.100262779Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.100262779Z,true,2024-01-18T23:27:07.388947883Z,8,2024-01-18T23:19:49.100262779Z,7,2024-01-18T23:19:49.100262779Z,Chat,2024-01-18T23:19:49.100262779Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.100262779Z,true,2024-01-18T23:26:10.619430739Z
01HMFDZ8KCT2EJV6ZFK8DPH4YT,2,2024-01-18T23:19:49.226933032Z,Round 5 / 9,2024-01-18T23:19:49.100901342Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.100901342Z,true,2024-01-18T23:24:24.723183596Z,5,2024-01-18T23:19:49.100901342Z,4,2024-01-18T23:19:49.100901342Z,Chat,2024-01-18T23:19:49.100901342Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.100901342Z,true,2024-01-18T23:23:29.887930714Z
01HMFDZ8KDR77QHE1TPF4ADSH6,2,2024-01-18T23:19:49.228271423Z,Round 6 / 9,2024-01-18T23:19:49.101879257Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.101879257Z,true,2024-01-18T23:25:10.359411338Z,6,2024-01-18T23:19:49.101879257Z,5,2024-01-18T23:19:49.101879257Z,Chat,2024-01-18T23:19:49.101879257Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.101879257Z,true,2024-01-18T23:24:24.73944247Z
01HMFDZ8KEEGBQ2M5D4QNJHWKX,2,2024-01-18T23:19:49.229056352Z,Round 7 / 9,2024-01-18T23:19:49.102479126Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.102479126Z,true,2024-01-18T23:26:10.605607899Z,7,2024-01-18T23:19:49.102479126Z,6,2024-01-18T23:19:49.102479126Z,Chat,2024-01-18T23:19:49.102479126Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.102479126Z,true,2024-01-18T23:25:10.374161432Z
01HMFDZ8KFQ5BZX1KTZS65X0KV,2,2024-01-18T23:19:49.229056352Z,Round 4 / 9,2024-01-18T23:19:49.103148278Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.103148278Z,true,2024-01-18T23:23:29.875304818Z,4,2024-01-18T23:19:49.103148278Z,3,2024-01-18T23:19:49.103148278Z,Chat,2024-01-18T23:19:49.103148278Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.103148278Z,true,2024-01-18T23:22:37.704739191Z
01HMFDZ8KFQ5BZX1KV08SHMCJ4,2,2024-01-18T23:19:49.234229732Z,Round 2 / 9,2024-01-18T23:19:49.103751166Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.103751166Z,true,2024-01-18T23:21:45.708113727Z,2,2024-01-18T23:19:49.103751166Z,1,2024-01-18T23:19:49.103751166Z,Chat,2024-01-18T23:19:49.103751166Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.103751166Z,true,2024-01-18T23:20:45.566936865Z
01HMFDZ8KGGWWGNEC97CZY7N48,2,2024-01-18T23:19:49.237069713Z,Round 3 / 9,2024-01-18T23:19:49.104456944Z,01HMFD6Y3806KPQMFM316V0X9R,2024-01-18T23:19:49.104456944Z,true,2024-01-18T23:22:37.695087481Z,3,2024-01-18T23:19:49.104456944Z,2,2024-01-18T23:19:49.104456944Z,Chat,2024-01-18T23:19:49.104456944Z,01HMFD6Y3K9VY9SR4HBJ8529TQ,2024-01-18T23:19:49.104456944Z,true,2024-01-18T23:21:45.717111411Z
01HMFE07K6RKC8VQNRTNFAT1GQ,2,2024-01-18T23:20:20.945325959Z,Round 1 / 9,2024-01-18T23:20:20.838297384Z,01HMFD71SXN1WKYF55K19NRT0D,2024-01-18T23:20:20.838297384Z,true,2024-01-18T23:21:15.240216886Z,1,2024-01-18T23:20:20.838297384Z,0,2024-01-18T23:20:20.838297384Z,Chat,2024-01-18T23:20:20.838297384Z,01HMFD71T5DSAFQWX4BE1MVEKN,2024-01-18T23:20:20.838297384Z,true,2024-01-18T23:20:21.024108844Z
