id,timerID,timerIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,started,startedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,duration,durationLastChangedAt,roundID,roundIDLastChangedAt,name,nameLastChangedAt,batchID,batchIDLastChangedAt
01HMFDA9FBHAKM26ATPPB79C26,01HMFDA9D5M7CTWFPM8S3PT2AY,2024-01-18T23:08:21.867115851Z,0,2024-01-18T23:08:21.867115851Z,true,2024-01-18T23:13:41.076434099Z,true,2024-01-18T23:13:41.08835721Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.867115851Z,true,2024-01-18T23:13:41.052661366Z,true,2024-01-18T23:14:11.092273775Z,30,2024-01-18T23:08:21.867115851Z,01HMFDA9BYCG9KDWN22787G1HZ,2024-01-18T23:08:21.867115851Z,send,2024-01-18T23:08:21.867115851Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.867115851Z
01HMFDA9FBHAKM26ATQ8XQ11PF,01HMFDA9EBRMG4VPYJQD9K5QRF,2024-01-18T23:08:21.867365638Z,1,2024-01-18T23:08:21.867365638Z,true,2024-01-18T23:14:11.132656041Z,true,2024-01-18T23:14:11.146206089Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.867365638Z,true,2024-01-18T23:14:11.103649814Z,true,2024-01-18T23:14:28.153351641Z,30,2024-01-18T23:08:21.867365638Z,01HMFDA9BYCG9KDWN22787G1HZ,2024-01-18T23:08:21.867365638Z,observe,2024-01-18T23:08:21.867365638Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.867365638Z
01HMFDA9FDT39ERK5KXFPE5FF3,01HMFDA9D4VX0R7411Q1BA265A,2024-01-18T23:08:21.869521385Z,0,2024-01-18T23:08:21.869521385Z,true,2024-01-18T23:11:15.69749978Z,true,2024-01-18T23:11:15.710487156Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.869521385Z,true,2024-01-18T23:11:15.668374022Z,true,2024-01-18T23:11:45.714472975Z,30,2024-01-18T23:08:21.869521385Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:08:21.869521385Z,send,2024-01-18T23:08:21.869521385Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.869521385Z
01HMFDA9FDT39ERK5KXYN53W2H,01HMFDA9ECRDJ9N6G4YRR3WSHN,2024-01-18T23:08:21.869753604Z,1,2024-01-18T23:08:21.869753604Z,true,2024-01-18T23:11:45.745430447Z,true,2024-01-18T23:11:45.754723185Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.869753604Z,true,2024-01-18T23:11:45.724050879Z,true,2024-01-18T23:11:53.274338553Z,30,2024-01-18T23:08:21.869753604Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:08:21.869753604Z,observe,2024-01-18T23:08:21.869753604Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.869753604Z
01HMFDA9FDT39ERK5KYM6XXAVM,01HMFDA9DNJYPEQPT84DVC5WX3,2024-01-18T23:08:21.869969748Z,0,2024-01-18T23:08:21.869969748Z,true,2024-01-18T23:14:28.237449741Z,true,2024-01-18T23:14:28.249154402Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.869969748Z,true,2024-01-18T23:14:28.212184121Z,true,2024-01-18T23:14:58.253493882Z,30,2024-01-18T23:08:21.869969748Z,01HMFDA9BZAHYKWQJ0JKN07CBV,2024-01-18T23:08:21.869969748Z,send,2024-01-18T23:08:21.869969748Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.869969748Z
01HMFDA9FE7FGA913A53SK92BR,01HMFDA9F14KVVWX8FK9QE8F8V,2024-01-18T23:08:21.870675469Z,1,2024-01-18T23:08:21.870675469Z,true,2024-01-18T23:14:58.297554639Z,true,2024-01-18T23:14:58.307966719Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.870675469Z,true,2024-01-18T23:14:58.263994368Z,true,2024-01-18T23:15:28.311471011Z,30,2024-01-18T23:08:21.870675469Z,01HMFDA9BZAHYKWQJ0JKN07CBV,2024-01-18T23:08:21.870675469Z,observe,2024-01-18T23:08:21.870675469Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.870675469Z
01HMFDA9FFG1R0XX6YCYKQ333F,01HMFDA9D3MA3K9MXB40J9K2HX,2024-01-18T23:08:21.871693706Z,0,2024-01-18T23:08:21.871693706Z,true,2024-01-18T23:09:53.503692141Z,true,2024-01-18T23:09:53.517018311Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.871693706Z,true,2024-01-18T23:09:53.46889782Z,true,2024-01-18T23:10:23.5206825Z,30,2024-01-18T23:08:21.871693706Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:08:21.871693706Z,send,2024-01-18T23:08:21.871693706Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.871693706Z
01HMFDA9FFG1R0XX6YDFYNCK20,01HMFDA9E6BHS0BT1Q5Y87XV9N,2024-01-18T23:08:21.871916756Z,1,2024-01-18T23:08:21.871916756Z,true,2024-01-18T23:10:23.558199427Z,true,2024-01-18T23:10:23.568373163Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.871916756Z,true,2024-01-18T23:10:23.529573999Z,true,2024-01-18T23:10:32.856697058Z,30,2024-01-18T23:08:21.871916756Z,01HMFDA9BX88MKGW8D67BBV57A,2024-01-18T23:08:21.871916756Z,observe,2024-01-18T23:08:21.871916756Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.871916756Z
01HMFDA9FH4SZMZ8PKMS07KKJC,01HMFDA9D6Y92FMZERKP9772TD,2024-01-18T23:08:21.873466196Z,0,2024-01-18T23:08:21.873466196Z,true,2024-01-18T23:12:53.534391346Z,true,2024-01-18T23:12:53.545452688Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.873466196Z,true,2024-01-18T23:12:53.505546646Z,true,2024-01-18T23:13:23.548459489Z,30,2024-01-18T23:08:21.873466196Z,01HMFDA9BYCG9KDWN22PGFTKZG,2024-01-18T23:08:21.873466196Z,send,2024-01-18T23:08:21.873466196Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.873466196Z
01HMFDA9FH4SZMZ8PKNF95RGJ3,01HMFDA9EBRMG4VPYJQGJPVG69,2024-01-18T23:08:21.873667246Z,1,2024-01-18T23:08:21.873667246Z,true,2024-01-18T23:13:23.584513083Z,true,2024-01-18T23:13:23.593867759Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:08:21.873667246Z,true,2024-01-18T23:13:23.559619754Z,true,2024-01-18T23:13:40.993074282Z,30,2024-01-18T23:08:21.873667246Z,01HMFDA9BYCG9KDWN22PGFTKZG,2024-01-18T23:08:21.873667246Z,observe,2024-01-18T23:08:21.873667246Z,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:08:21.873667246Z
