id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt
01HNDB3WB30T3HSXFKYVFDZJVJ,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:07.619098285Z,true,2024-01-30T14:07:07.645706085Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:07.619098285Z,running,2024-01-30T14:07:08.720958195Z
01HNDB3XT775V20QG3EE6AAZMS,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:09.127774585Z,true,2024-01-30T14:07:09.144549327Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:09.127774585Z,running,2024-01-30T14:07:14.609641177Z
01HNDB3Y5567ZKBSA8QGT8SQRB,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:09.477429795Z,true,2024-01-30T14:07:09.488034412Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:09.477429795Z,running,2024-01-30T14:07:14.033137698Z
01HNDB3YAA8GPV8TCY2YPC4DSG,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:09.642950151Z,true,2024-01-30T14:07:09.654304823Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:09.642950151Z,running,2024-01-30T14:07:13.527899315Z
01HNDB3YG3XEJMGM60GYJ06B6A,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:09.827320665Z,true,2024-01-30T14:07:09.838785371Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:09.827320665Z,running,2024-01-30T14:07:13.051361266Z
01HNDB3YN9S8XAXV63J7H20C6N,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:09.99362245Z,true,2024-01-30T14:07:10.005194787Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:09.99362245Z,running,2024-01-30T14:07:11.835167882Z
01HNDB3YTFQ2CN641FXXKRYXGD,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:10.159966044Z,true,2024-01-30T14:07:10.172067605Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:10.159966044Z,running,2024-01-30T14:07:11.177410687Z
01HNDB5A6AJ09E68SSNGTD4HAC,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:54.570237743Z,true,2024-01-30T14:07:54.585579134Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:54.570237743Z,running,2024-01-30T14:08:13.661955121Z
01HNDB5ASVD62A8EQ1T8PGXK0A,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:55.195979458Z,true,2024-01-30T14:07:55.205629724Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:55.195979458Z,running,2024-01-30T14:08:13.061431644Z
01HNDB5B7WTJYFDJ3M6W00HH2T,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-30T14:07:55.644311746Z,true,2024-01-30T14:07:55.65566932Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment2-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""experiment2-slider-0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-30T14:07:55.644311746Z,running,2024-01-30T14:08:11.203048381Z
