id,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,intro,introLastChangedAt,ended,endedLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,exitSurvey,exitSurveyLastChangedAt,treatment,treatmentLastChangedAt,urlParams,urlParamsLastChangedAt,emojiArray,emojiArrayLastChangedAt,participantID,participantIDLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt,exitStep,exitStepLastChangedAt,treatmentName,treatmentNameLastChangedAt
01HNDB4NRT9JV9F06AK3XEG78S,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:11.931561834Z,true,2024-01-30T14:13:46.255874918Z,3,2024-01-30T14:13:39.97069385Z,game ended,2024-01-30T14:17:01.520348545Z,60086fad66ec4249243535c2,2024-01-30T14:07:33.658960939Z,"{""age"":""-65"",""gender"":""female"",""strength"":""Awful"",""fair"":""yes"",""feedback"":""yes, slider was confusing, and a few times I missed answering due to swiftness of the play"",""education"":""bachelor"",""teammates"":""no, "",""notes"":""yes"",""politics"":""Liberal "",""geo"":""Canadian"",""ethnicity"":""white""}",2024-01-30T14:19:02.203018351Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:07:33.669394945Z,{},2024-01-30T14:07:33.75466062Z,"[""              "",""🐿️"",""🐿️"",""🐇"","""","""",""🐿️"",""🐿️""]",2024-01-30T14:13:55.016494043Z,01HNDB4NKQ8ZNAVJHHAGG9B37N,2024-01-30T14:07:33.658960939Z,player 1,2024-01-30T14:13:55.016494043Z,01HNDB97QN9RVMBTZQ75DZ3S4T,2024-01-30T14:16:33.117601625Z,1,2024-01-30T14:19:02.187495434Z,experiment2-slider-0.3,2024-01-30T14:07:33.669394945Z
01HNDB6JVG2EY0R2KREW92RPY7,01HNDB5D2BXHVRBSX41JS36C1Z,2024-01-30T14:20:49.451615065Z,,,1,2024-01-30T14:14:36.3049496Z,,,6015ba6e08c86b6e3735ad9f,2024-01-30T14:08:36.20850968Z,,,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:08:36.216158168Z,{},2024-01-30T14:08:36.574586944Z,,,01HNDB6J2SP6H55G6TX9N14E10,2024-01-30T14:08:36.20850968Z,,,,,,,experiment2-slider-0.3,2024-01-30T14:08:36.216158168Z
01HNDB6QYY55K8M2VXEEAVEHMA,01HNDB5BTNJPD0XZCF6HJGV8CT,2024-01-30T14:20:10.061057942Z,,,,,,,5edd36ee4aaed5a3a0d9b6d1,2024-01-30T14:08:41.438090464Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:08:41.445227465Z,{},2024-01-30T14:08:41.776625594Z,,,01HNDB6QARPNDTW5XBYNDMBW6V,2024-01-30T14:08:41.438090464Z,,,,,,,experiment2-interactive-0.3,2024-01-30T14:08:41.445227465Z
01HNDB70WRRWZRX93F98SA6HXG,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:08:50.59107885Z,true,2024-01-30T14:11:06.630815672Z,3,2024-01-30T14:10:54.834774728Z,game ended,2024-01-30T14:13:29.614168677Z,5aec1707c09cd900015d7408,2024-01-30T14:08:50.584111248Z,"{""age"":""59"",""gender"":""Male"",""strength"":""Poor"",""fair"":""Ok"",""feedback"":"""",""education"":""other"",""teammates"":""Don't know"",""notes"":""No"",""politics"":""Centre left"",""geo"":""British"",""ethnicity"":""White""}",2024-01-30T14:14:22.84050185Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:08:50.59107885Z,{},2024-01-30T14:08:50.931162622Z,"[""🐇"",""🐿️"",""🐿️"",""🐿️"",""                     "","""",""🐇"",""🐿️"","""",""🐿️""]",2024-01-30T14:11:06.748130824Z,01HNDB707VMXP2ZY1C93SYXG7Q,2024-01-30T14:08:50.584111248Z,player 1,2024-01-30T14:11:06.748130824Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:13:10.118066848Z,1,2024-01-30T14:14:22.854399124Z,experiment2-slider-0.3,2024-01-30T14:08:50.59107885Z
01HNDB762M5M8Z9H1NJ54J1PNA,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:08:55.899876741Z,true,2024-01-30T14:10:43.02055933Z,3,2024-01-30T14:10:40.417270508Z,game ended,2024-01-30T14:13:29.614168677Z,5e432c93ea48191c2831304a,2024-01-30T14:08:55.892839626Z,"{""age"":""29"",""gender"":""Female"",""strength"":""Moderate"",""fair"":""Yes"",""feedback"":""N/A"",""education"":""master"",""teammates"":""Yes I think so"",""notes"":""No"",""politics"":""Left"",""geo"":""British"",""ethnicity"":""White""}",2024-01-30T14:14:09.793604989Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:08:55.899876741Z,{},2024-01-30T14:08:56.193806951Z,"[""🐿️"",""🐿️"",""🐿️"",""              "","""","""",""🐿️"",""🐿️""]",2024-01-30T14:11:06.748130824Z,01HNDB75E039B40266M6QN9ST2,2024-01-30T14:08:55.892839626Z,player 2,2024-01-30T14:11:06.748130824Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:13:10.118066848Z,1,2024-01-30T14:14:09.796085739Z,experiment2-slider-0.3,2024-01-30T14:08:55.899876741Z
01HNDB7C0ZKF6306S76E99GBZA,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:09:01.996644249Z,true,2024-01-30T14:10:45.067577221Z,3,2024-01-30T14:10:34.383784722Z,game ended,2024-01-30T14:13:29.614168677Z,5888b46249bc0000018878a6,2024-01-30T14:09:01.983494237Z,"{""age"":""45"",""gender"":""FEMALE"",""strength"":"""",""fair"":""YES"",""feedback"":"""",""education"":""master"",""teammates"":""NOT SURE"",""notes"":""YES"",""politics"":""NONE"",""geo"":""BRITISH"",""ethnicity"":""WHITE""}",2024-01-30T14:14:06.077135359Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:01.996644249Z,{},2024-01-30T14:09:02.345416162Z,"["""","""","""",""🐿️""]",2024-01-30T14:11:06.748130824Z,01HNDB7BAH6BJ9XNY1S0Q3T5JY,2024-01-30T14:09:01.983494237Z,player 3,2024-01-30T14:11:06.748130824Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:13:10.118066848Z,1,2024-01-30T14:14:06.079708974Z,experiment2-slider-0.3,2024-01-30T14:09:01.996644249Z
01HNDB7M8Y6J4MSBAEXKPBE52C,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:11:06.668488776Z,true,2024-01-30T14:12:12.98865906Z,3,2024-01-30T14:12:05.1397152Z,game ended,2024-01-30T14:15:39.971239026Z,583ec5fc541de800013d4791,2024-01-30T14:09:10.430101464Z,"{""age"":""56"",""gender"":""female"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""high-school"",""teammates"":""No I didn't feel they were"",""notes"":""I read them but decided for myself"",""politics"":""left"",""geo"":""England"",""ethnicity"":""white british""}",2024-01-30T14:16:39.786487926Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:10.437243786Z,{},2024-01-30T14:09:10.75760567Z,"[""🐇"",""🐇"",""🐇"","""",""🐿️"","""",""                     "",""🐿️"",""🐿️"",""🐇""]",2024-01-30T14:13:11.981804067Z,01HNDB7KN6ENCGB7P5B030H0V4,2024-01-30T14:09:10.430101464Z,player 1,2024-01-30T14:13:11.981804067Z,01HNDB913QZHG1VEDN317EXRMK,2024-01-30T14:15:28.779264881Z,1,2024-01-30T14:16:39.790030672Z,experiment2-slider-0.3,2024-01-30T14:09:10.437243786Z
01HNDB7T8BVMRZQEF8W46KTDBC,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:13:43.894040608Z,true,2024-01-30T14:13:49.271719769Z,4,2024-01-30T14:13:12.998934036Z,,,657c4b6143444160a93e19c2,2024-01-30T14:09:16.55578074Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:16.565810586Z,{},2024-01-30T14:09:16.989396388Z,"["""",""🐿️"",""🐿️"",""🐇"","""",""🐿️"",""              ""]",2024-01-30T14:14:17.085281792Z,01HNDB7SFNG4SEKZBX4GD86ZMW,2024-01-30T14:09:16.55578074Z,player 1,2024-01-30T14:14:17.085281792Z,01HNDBAQPHNEHQ3R6YPFPTC7FF,2024-01-30T14:20:14.152601918Z,,,experiment2-interactive-0.3,2024-01-30T14:09:16.565810586Z
01HNDB8DKC7YKQ41FZ9DH396HC,01HNDB3Y5HJFMF97DC9SHA61FR,2024-01-30T14:14:17.04150882Z,true,2024-01-30T14:14:47.698421926Z,4,2024-01-30T14:14:37.162700087Z,,,5999aedebbe8480001796677,2024-01-30T14:09:36.364211749Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:36.377048622Z,{},2024-01-30T14:09:36.837321822Z,"[""🐇"",""🐿️"",""🐿️"","""","""",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐇"",""                            ""]",2024-01-30T14:14:59.789213445Z,01HNDB8CND51RE8T7RCMQ2MSKN,2024-01-30T14:09:36.364211749Z,player 1,2024-01-30T14:14:59.789213445Z,01HNDBD43NQD1VTEW7CAEAKF64,2024-01-30T14:20:30.904859754Z,,,experiment2-interactive-0.3,2024-01-30T14:09:36.377048622Z
01HNDB913QZHG1VEDN317EXRMK,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:11:06.668488776Z,true,2024-01-30T14:11:42.695082866Z,3,2024-01-30T14:11:39.567075763Z,game ended,2024-01-30T14:15:39.971239026Z,5ba9875fc16a9c000149a54e,2024-01-30T14:09:56.343677647Z,"{""age"":""45"",""gender"":""Female"",""strength"":""Average. I had the same power as everyone else"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Most of them were lying"",""notes"":""No"",""politics"":""Democrat"",""geo"":""United States"",""ethnicity"":""American""}",2024-01-30T14:16:34.158918071Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:09:56.351176004Z,{},2024-01-30T14:09:56.554528043Z,"[""🐿️"","""",""🐿️"",""🐿️"",""🐇"","""",""              ""]",2024-01-30T14:13:11.981804067Z,01HNDB90QFVA8RCR5D9YBETWC2,2024-01-30T14:09:56.343677647Z,player 2,2024-01-30T14:13:11.981804067Z,01HNDB92QFC2MQXDVH505RNN81,2024-01-30T14:15:28.779264881Z,1,2024-01-30T14:16:34.155133009Z,experiment2-slider-0.3,2024-01-30T14:09:56.351176004Z
