id,ended,endedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,idx,idxLastChangedAt
01HNDD895VCKYVWGWTP8ZQ935V,true,2024-01-30T14:45:02.409948277Z,Round 2 / 9,2024-01-30T14:44:28.987888442Z,true,2024-01-30T14:44:46.501936035Z,1,2024-01-30T14:44:28.987888442Z,1,2024-01-30T14:44:29.050425997Z,Chat,2024-01-30T14:44:28.987888442Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.987888442Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.987888442Z,2,2024-01-30T14:44:28.987888442Z
01HNDD895WDMZK0WDWPE2EGZZD,true,2024-01-30T14:45:16.071002703Z,Round 3 / 9,2024-01-30T14:44:28.988680657Z,true,2024-01-30T14:45:02.424485891Z,2,2024-01-30T14:44:28.988680657Z,1,2024-01-30T14:44:29.051419954Z,Chat,2024-01-30T14:44:28.988680657Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.988680657Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.988680657Z,3,2024-01-30T14:44:28.988680657Z
01HNDD895X12XFY8H74FQAESVD,true,2024-01-30T14:45:29.929000112Z,Round 4 / 9,2024-01-30T14:44:28.989336624Z,true,2024-01-30T14:45:16.079893771Z,3,2024-01-30T14:44:28.989336624Z,1,2024-01-30T14:44:29.063077587Z,Chat,2024-01-30T14:44:28.989336624Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.989336624Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.989336624Z,4,2024-01-30T14:44:28.989336624Z
01HNDD895X12XFY8H750B1KYJF,true,2024-01-30T14:44:46.489206254Z,Round 1 / 9,2024-01-30T14:44:28.989847684Z,true,2024-01-30T14:44:29.210918365Z,0,2024-01-30T14:44:28.989847684Z,1,2024-01-30T14:44:29.035901423Z,Chat,2024-01-30T14:44:28.989847684Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.989847684Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.989847684Z,1,2024-01-30T14:44:28.989847684Z
01HNDD895YNQ2X754H3K1HFZT1,true,2024-01-30T14:45:41.221803388Z,Round 5 / 9,2024-01-30T14:44:28.99037443Z,true,2024-01-30T14:45:29.938393254Z,4,2024-01-30T14:44:28.99037443Z,1,2024-01-30T14:44:29.070498602Z,Chat,2024-01-30T14:44:28.99037443Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.99037443Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.99037443Z,5,2024-01-30T14:44:28.99037443Z
01HNDD895YNQ2X754H462PRQKA,true,2024-01-30T14:45:48.233115433Z,Round 6 / 9,2024-01-30T14:44:28.990870125Z,true,2024-01-30T14:45:41.233231278Z,5,2024-01-30T14:44:28.990870125Z,1,2024-01-30T14:44:29.035901423Z,Chat,2024-01-30T14:44:28.990870125Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.990870125Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.990870125Z,6,2024-01-30T14:44:28.990870125Z
01HNDD895Z34T3VKW4ZXC2S033,true,2024-01-30T14:45:56.440292313Z,Round 7 / 9,2024-01-30T14:44:28.991448301Z,true,2024-01-30T14:45:48.242482691Z,6,2024-01-30T14:44:28.991448301Z,1,2024-01-30T14:44:29.070498602Z,Chat,2024-01-30T14:44:28.991448301Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.991448301Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.991448301Z,7,2024-01-30T14:44:28.991448301Z
01HNDD89604B2R58973XT8YEVS,true,2024-01-30T14:46:07.293328834Z,Round 8 / 9,2024-01-30T14:44:28.99204248Z,true,2024-01-30T14:45:56.452907406Z,7,2024-01-30T14:44:28.99204248Z,1,2024-01-30T14:44:29.075217031Z,Chat,2024-01-30T14:44:28.99204248Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.99204248Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.99204248Z,8,2024-01-30T14:44:28.99204248Z
01HNDD89604B2R58974G3CKXS1,true,2024-01-30T14:46:15.254044656Z,Round 9 / 9,2024-01-30T14:44:28.992658688Z,true,2024-01-30T14:46:07.308220393Z,8,2024-01-30T14:44:28.992658688Z,1,2024-01-30T14:44:29.164398063Z,Chat,2024-01-30T14:44:28.992658688Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:44:28.992658688Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:44:28.992658688Z,9,2024-01-30T14:44:28.992658688Z
01HNDDAGY8TH246PPMPEQG6Z02,true,2024-01-30T14:46:35.225078383Z,Round 1 / 9,2024-01-30T14:45:42.472893769Z,true,2024-01-30T14:45:42.647995332Z,0,2024-01-30T14:45:42.472893769Z,2,2024-01-30T14:45:42.532679841Z,Chat,2024-01-30T14:45:42.472893769Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.472893769Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.472893769Z,1,2024-01-30T14:45:42.472893769Z
01HNDDAGYAZF4A12E5508BD0A6,true,2024-01-30T14:47:20.952594951Z,Round 2 / 9,2024-01-30T14:45:42.474117068Z,true,2024-01-30T14:46:35.235461795Z,1,2024-01-30T14:45:42.474117068Z,2,2024-01-30T14:45:42.538500552Z,Chat,2024-01-30T14:45:42.474117068Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.474117068Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.474117068Z,2,2024-01-30T14:45:42.474117068Z
01HNDDAGYBNDD4155H190HHART,true,2024-01-30T14:48:09.056967049Z,Round 3 / 9,2024-01-30T14:45:42.475080014Z,true,2024-01-30T14:47:20.961958459Z,2,2024-01-30T14:45:42.475080014Z,2,2024-01-30T14:45:42.598338873Z,Chat,2024-01-30T14:45:42.475080014Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.475080014Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.475080014Z,3,2024-01-30T14:45:42.475080014Z
01HNDDAGYKHYN195XJQK2C8M0X,true,2024-01-30T14:48:58.106247961Z,Round 4 / 9,2024-01-30T14:45:42.483515317Z,true,2024-01-30T14:48:09.06958503Z,3,2024-01-30T14:45:42.483515317Z,2,2024-01-30T14:45:42.671467945Z,Chat,2024-01-30T14:45:42.483515317Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.483515317Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.483515317Z,4,2024-01-30T14:45:42.483515317Z
01HNDDAGYM8QG8HYE2BV47VVCH,true,2024-01-30T14:51:21.288751379Z,Round 7 / 9,2024-01-30T14:45:42.484599301Z,true,2024-01-30T14:50:22.066356564Z,6,2024-01-30T14:45:42.484599301Z,2,2024-01-30T14:45:42.680739181Z,Chat,2024-01-30T14:45:42.484599301Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.484599301Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.484599301Z,7,2024-01-30T14:45:42.484599301Z
01HNDDAGYNSKZ5DXWZ2V4Y37NB,true,2024-01-30T14:52:21.484981728Z,Round 8 / 9,2024-01-30T14:45:42.48550015Z,true,2024-01-30T14:51:21.306721993Z,7,2024-01-30T14:45:42.48550015Z,2,2024-01-30T14:45:42.680739181Z,Chat,2024-01-30T14:45:42.48550015Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.48550015Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.48550015Z,8,2024-01-30T14:45:42.48550015Z
01HNDDAGYP0G4HJHMVWYA5D3HJ,true,2024-01-30T14:53:04.965039382Z,Round 9 / 9,2024-01-30T14:45:42.486405901Z,true,2024-01-30T14:52:21.498575056Z,8,2024-01-30T14:45:42.486405901Z,2,2024-01-30T14:45:42.546477267Z,Chat,2024-01-30T14:45:42.486405901Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:45:42.486405901Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:42.486405901Z,9,2024-01-30T14:45:42.486405901Z
