id,ended,endedLastChangedAt,name,nameLastChangedAt,batchID,batchIDLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,initialized,initializedLastChangedAt,duration,durationLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt
01HWDZKYD3STMH6D7J11EJRP6J,true,2024-04-26T19:55:49.013039147Z,observe,2024-04-26T19:55:18.307342585Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.307342585Z,01HWDZKY98MZTWKDYBY71E9FNW,2024-04-26T19:55:18.307342585Z,01HWDZKYAAB8GK0VH6PRG03MYF,2024-04-26T19:55:18.307342585Z,true,2024-04-26T19:55:18.981662903Z,30,2024-04-26T19:55:18.307342585Z,true,2024-04-26T19:55:18.817794042Z,true,2024-04-26T19:55:19.01689495Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.307342585Z,0,2024-04-26T19:55:18.307342585Z
01HWDZKYDAHWMSXA1J8WZ4FVX7,true,2024-04-26T19:58:11.974290112Z,observe,2024-04-26T19:55:18.314856026Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.314856026Z,01HWDZKY9KWDY32NYBWGB1V9T4,2024-04-26T19:55:18.314856026Z,01HWDZKYB2GG74T1ZVDFQE8JMW,2024-04-26T19:55:18.314856026Z,true,2024-04-26T19:57:49.742903036Z,30,2024-04-26T19:55:18.314856026Z,true,2024-04-26T19:57:49.700180317Z,true,2024-04-26T19:57:49.758901512Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.314856026Z,0,2024-04-26T19:55:18.314856026Z
01HWDZKYE58ZTM10NKWWNQ6HJ2,true,2024-04-26T19:56:19.175163249Z,observe,2024-04-26T19:55:18.341565147Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.341565147Z,01HWDZKY9KWDY32NYBVTMX5YMM,2024-04-26T19:55:18.341565147Z,01HWDZKYA6H2DYKGJN16S4X9R3,2024-04-26T19:55:18.341565147Z,true,2024-04-26T19:55:49.15445666Z,30,2024-04-26T19:55:18.341565147Z,true,2024-04-26T19:55:49.113312184Z,true,2024-04-26T19:55:49.176104205Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.341565147Z,0,2024-04-26T19:55:18.341565147Z
01HWDZKYEGAN9T7YJDT7K5FDM0,true,2024-04-26T19:58:42.118801819Z,observe,2024-04-26T19:55:18.353043988Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.353043988Z,01HWDZKY9MJP8MB1P7Z6GH5EM9,2024-04-26T19:55:18.353043988Z,01HWDZKYE4E0XZTQ3XD6THN73A,2024-04-26T19:55:18.353043988Z,true,2024-04-26T19:58:12.09547402Z,30,2024-04-26T19:55:18.353043988Z,true,2024-04-26T19:58:12.055518244Z,true,2024-04-26T19:58:12.11949928Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.353043988Z,0,2024-04-26T19:55:18.353043988Z
01HWDZKYEK7QYSZQVPV0MCFVAF,true,2024-04-26T19:56:49.308132654Z,observe,2024-04-26T19:55:18.355872289Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.355872289Z,01HWDZKY9JD6TTZNEFZ6WF7H5K,2024-04-26T19:55:18.355872289Z,01HWDZKYDBS1F2VG9P17QJP3PP,2024-04-26T19:55:18.355872289Z,true,2024-04-26T19:56:19.28953007Z,30,2024-04-26T19:55:18.355872289Z,true,2024-04-26T19:56:19.250958769Z,true,2024-04-26T19:56:19.301780359Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.355872289Z,0,2024-04-26T19:55:18.355872289Z
01HWDZKYF60FKH0TVYY1SWK3TG,true,2024-04-26T20:00:06.860211731Z,observe,2024-04-26T19:55:18.374424811Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.374424811Z,01HWDZKY9VVKPVK2PQGVFZ3T8A,2024-04-26T19:55:18.374424811Z,01HWDZKYE58ZTM10NKWV5APH9R,2024-04-26T19:55:18.374424811Z,true,2024-04-26T19:59:36.841744048Z,30,2024-04-26T19:55:18.374424811Z,true,2024-04-26T19:59:36.810138412Z,true,2024-04-26T19:59:36.853236292Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.374424811Z,0,2024-04-26T19:55:18.374424811Z
01HWDZKYFFNJF7061C3Y617SD4,true,2024-04-26T19:57:49.621495641Z,observe,2024-04-26T19:55:18.383317832Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.383317832Z,01HWDZKYA1QSWY1YAYN99MHAT6,2024-04-26T19:55:18.383317832Z,01HWDZKYE58ZTM10NKXH3YBT9W,2024-04-26T19:55:18.383317832Z,true,2024-04-26T19:57:19.598524697Z,30,2024-04-26T19:55:18.383317832Z,true,2024-04-26T19:57:19.539986765Z,true,2024-04-26T19:57:19.619143852Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.383317832Z,0,2024-04-26T19:55:18.383317832Z
01HWDZKYFKD6A85G026PC3R1E4,true,2024-04-26T19:57:19.420087744Z,observe,2024-04-26T19:55:18.387152222Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.387152222Z,01HWDZKY9YP0XBEEQZKFE779FP,2024-04-26T19:55:18.387152222Z,01HWDZKYEEFBKGY408RYJ54NBT,2024-04-26T19:55:18.387152222Z,true,2024-04-26T19:56:49.401154969Z,30,2024-04-26T19:55:18.387152222Z,true,2024-04-26T19:56:49.37734954Z,true,2024-04-26T19:56:49.413399334Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.387152222Z,0,2024-04-26T19:55:18.387152222Z
01HWDZKYG2R2BJGPH66VZQR0FA,true,2024-04-26T19:59:14.415462149Z,observe,2024-04-26T19:55:18.402800338Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.402800338Z,01HWDZKY9XE5N98GSF2KPRNQG8,2024-04-26T19:55:18.402800338Z,01HWDZKYEF4WP367QMHADZTMP8,2024-04-26T19:55:18.402800338Z,true,2024-04-26T19:58:56.761567018Z,30,2024-04-26T19:55:18.402800338Z,true,2024-04-26T19:58:56.704353914Z,true,2024-04-26T19:58:56.78145959Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.402800338Z,0,2024-04-26T19:55:18.402800338Z
01HWDZKYKX0GXJBFZ25B21642J,true,2024-04-26T20:00:18.63827614Z,observe,2024-04-26T19:55:18.525879651Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.525879651Z,01HWDZKY9PW5T2YNA2NGDGW04E,2024-04-26T19:55:18.525879651Z,01HWDZKYEEFBKGY408S1AH7EKM,2024-04-26T19:55:18.525879651Z,true,2024-04-26T20:00:07.014316031Z,30,2024-04-26T19:55:18.525879651Z,true,2024-04-26T20:00:06.961595688Z,true,2024-04-26T20:00:07.028979703Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.525879651Z,0,2024-04-26T19:55:18.525879651Z
