id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW3CF0XPF9JBPTZNYVSZ2SGZ,01HW3CF023P0V7HQE2BA8RMAFT,2024-04-22T17:08:09.782266539Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:08:09.782266539Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:09.782266539Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:09.782266539Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:09.782266539Z,,,,,,
01HW3CF0XWYGMK9KAD0BFJVT85,01HW3CF023P0V7HQE2BA8RMAFT,2024-04-22T17:08:09.788284404Z,01HW3C8MMWN3X9FVBHJD3KSBFZ,2024-04-22T17:08:09.788284404Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:09.788284404Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:09.788284404Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:09.788284404Z,,,,,,
01HW3CF0YJRJPJHV6ZWE2WSGYS,01HW3CF023P0V7HQE2BA8RMAFT,2024-04-22T17:08:09.810491685Z,01HW3CAK762YQFDSY2K7KQKQWW,2024-04-22T17:08:09.810491685Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:09.810491685Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:09.810491685Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:09.810491685Z,,,,,,
01HW3CF0YQ46SWEQY5ZM6BH89Y,01HW3CF023P0V7HQE2BA8RMAFT,2024-04-22T17:08:09.815703415Z,01HW3CCQMKGA0ZNVQ0K46FFDHD,2024-04-22T17:08:09.815703415Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:09.815703415Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:09.815703415Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:09.815703415Z,,,,,,
01HW3CFY9NC8D977JSRZRNMKVG,01HW3CF0242MZJE616BS67E3KX,2024-04-22T17:08:39.861957382Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:08:39.861957382Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:39.861957382Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:39.861957382Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:39.861957382Z,,,,,,
01HW3CFY9W81PK9EGNXMWXGE3T,01HW3CF0242MZJE616BS67E3KX,2024-04-22T17:08:39.868622148Z,01HW3C8MMWN3X9FVBHJD3KSBFZ,2024-04-22T17:08:39.868622148Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:39.868622148Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:39.868622148Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:39.868622148Z,51,2024-04-22T17:09:00.801247063Z,82,2024-04-22T17:09:00.801707988Z,true,2024-04-22T17:09:00.970661138Z
01HW3CFYA0WZVJGFKEEJ690Z5C,01HW3CF0242MZJE616BS67E3KX,2024-04-22T17:08:39.872805639Z,01HW3CAK762YQFDSY2K7KQKQWW,2024-04-22T17:08:39.872805639Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:39.872805639Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:39.872805639Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:39.872805639Z,,,,,,
01HW3CFYA52RBCN0RP1REG7JVS,01HW3CF0242MZJE616BS67E3KX,2024-04-22T17:08:39.877343316Z,01HW3CCQMKGA0ZNVQ0K46FFDHD,2024-04-22T17:08:39.877343316Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:08:39.877343316Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:08:39.877343316Z,01HW3CEZRY5W1P545G4ZN1M3TR,2024-04-22T17:08:39.877343316Z,81,2024-04-22T17:08:51.399318022Z,100,2024-04-22T17:08:51.400213461Z,true,2024-04-22T17:08:51.401150886Z
01HW3CGVPXP1FFTBX7ZG3R8JP9,01HW3CF07NAWJD1HPZF5F3BM7V,2024-04-22T17:09:09.981880426Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:09:09.981880426Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:09.981880426Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:09.981880426Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:09.981880426Z,,,,,,
01HW3CGVQ2Z0VFE9ZNC0ECX4W9,01HW3CF07NAWJD1HPZF5F3BM7V,2024-04-22T17:09:09.986221434Z,01HW3C8MMWN3X9FVBHJD3KSBFZ,2024-04-22T17:09:09.986221434Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:09.986221434Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:09.986221434Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:09.986221434Z,,,,,,
01HW3CGVQ6QK74NAEAJVGSWAEG,01HW3CF07NAWJD1HPZF5F3BM7V,2024-04-22T17:09:09.990535338Z,01HW3CAK762YQFDSY2K7KQKQWW,2024-04-22T17:09:09.990535338Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:09.990535338Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:09.990535338Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:09.990535338Z,,,,,,
01HW3CGVQBYNVKRT5JADFGJK7T,01HW3CF07NAWJD1HPZF5F3BM7V,2024-04-22T17:09:09.995169583Z,01HW3CCQMKGA0ZNVQ0K46FFDHD,2024-04-22T17:09:09.995169583Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:09.995169583Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:09.995169583Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:09.995169583Z,,,,,,
01HW3CHS22GQPR8XY0P65VVPK4,01HW3CF082TTBJMHKVJHZHDGKW,2024-04-22T17:09:40.034460309Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:09:40.034460309Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:40.034460309Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:40.034460309Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:40.034460309Z,,,,,,
01HW3CHS26YHZAPJRVJDJ72J8T,01HW3CF082TTBJMHKVJHZHDGKW,2024-04-22T17:09:40.03865627Z,01HW3C8MMWN3X9FVBHJD3KSBFZ,2024-04-22T17:09:40.03865627Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:40.03865627Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:40.03865627Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:40.03865627Z,74,2024-04-22T17:09:53.688041853Z,94,2024-04-22T17:09:53.690642184Z,true,2024-04-22T17:09:53.69018921Z
01HW3CHS2BGB221N2Y2ZB23RRC,01HW3CF082TTBJMHKVJHZHDGKW,2024-04-22T17:09:40.043558118Z,01HW3CAK762YQFDSY2K7KQKQWW,2024-04-22T17:09:40.043558118Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:40.043558118Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:40.043558118Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:40.043558118Z,43,2024-04-22T17:09:48.104870303Z,30,2024-04-22T17:09:48.105860269Z,true,2024-04-22T17:09:48.278244936Z
01HW3CHS2FFK76BPF3DCEN7HNY,01HW3CF082TTBJMHKVJHZHDGKW,2024-04-22T17:09:40.047593043Z,01HW3CCQMKGA0ZNVQ0K46FFDHD,2024-04-22T17:09:40.047593043Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:09:40.047593043Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:09:40.047593043Z,01HW3CEZSCV7W5EJJ7XXZ3ST8K,2024-04-22T17:09:40.047593043Z,76,2024-04-22T17:09:46.097852272Z,100,2024-04-22T17:09:46.098367391Z,true,2024-04-22T17:09:46.099013374Z
01HW3CJPFGGWZVM2N6GA03NYBE,01HW3CF086K2VWV170782BATWD,2024-04-22T17:10:10.161003755Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:10:10.161003755Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:10:10.161003755Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:10:10.161003755Z,01HW3CEZS5YNMCQDJFWEY1X6H5,2024-04-22T17:10:10.161003755Z,,,,,,
01HW3CJPFNGKE371YNY8G1WTKT,01HW3CF086K2VWV170782BATWD,2024-04-22T17:10:10.166028885Z,01HW3C8MMWN3X9FVBHJD3KSBFZ,2024-04-22T17:10:10.166028885Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:10:10.166028885Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:10:10.166028885Z,01HW3CEZS5YNMCQDJFWEY1X6H5,2024-04-22T17:10:10.166028885Z,,,,,,
01HW3CJPFXVYJBP2KT8HG37VS3,01HW3CF086K2VWV170782BATWD,2024-04-22T17:10:10.173290117Z,01HW3CAK762YQFDSY2K7KQKQWW,2024-04-22T17:10:10.173290117Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:10:10.173290117Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:10:10.173290117Z,01HW3CEZS5YNMCQDJFWEY1X6H5,2024-04-22T17:10:10.173290117Z,,,,,,
01HW3CJPG2SFYPJPQFVSP21QDJ,01HW3CF086K2VWV170782BATWD,2024-04-22T17:10:10.178556464Z,01HW3CCQMKGA0ZNVQ0K46FFDHD,2024-04-22T17:10:10.178556464Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:10:10.178556464Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:10:10.178556464Z,01HW3CEZS5YNMCQDJFWEY1X6H5,2024-04-22T17:10:10.178556464Z,,,,,,
01HW3CKKV08B1RMP928EJ3XBBW,01HW3CF08HVKVQHEH7147WZBHX,2024-04-22T17:10:40.224058478Z,01HW3C78P6PB8ZCR3G55511GKP,2024-04-22T17:10:40.224058478Z,01HW3BN3HVXB78WB2386NE6190,2024-04-22T17:10:40.224058478Z,01HW3BN3J4VDGERJNSDFPH4ZPD,2024-04-22T17:10:40.224058478Z,01HW3CEZS5YNMCQDJFWEY1X6H5,2024-04-22T17:10:40.224058478Z,49,2024-04-22T17:10:55.95975193Z,40,2024-04-22T17:10:55.969998726Z,true,2024-04-22T17:10:56.043841368Z
