id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,playerID,playerIDLastChangedAt
01HW66S2TPT9AHF75X4WS54CZR,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.254130406Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.254130406Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.254130406Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:26:31.254130406Z
01HW66S2TVFYWDFZ5NBPYXJS8S,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.260009846Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.260009846Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.260009846Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:26:31.260009846Z
01HW66S2V6V6KWD51WN9FNBR03,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.270353574Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.270353574Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.270353574Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:26:31.270353574Z
01HW66S2VE45VYZMYAAHRS8F86,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:26:31.278576225Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:26:31.278576225Z,01HW66S288PSV22MMPXG74VPDX,2024-04-23T19:26:31.278576225Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:26:31.278576225Z
01HW66T09TNM37M4VQ7NP0MNRF,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.434726583Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.434726583Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.434726583Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:27:01.434726583Z
01HW66T0A22HAGDYHZ3QK38ABB,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.442209931Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.442209931Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.442209931Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:27:01.442209931Z
01HW66T0A70VED7MXETD7MGZ6N,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.447630094Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.447630094Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.447630094Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:27:01.447630094Z
01HW66T0AECG6C77ZX3AN7W25B,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:01.45412177Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:01.45412177Z,01HW66S28EAEFQTQBM5KYMX7HF,2024-04-23T19:27:01.45412177Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:27:01.45412177Z
01HW66TXPW3SWCRYZB3137HWZZ,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.548705641Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.548705641Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.548705641Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:27:31.548705641Z
01HW66TXQ15FZZAFFMY8G5QPEC,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.55331124Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.55331124Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.55331124Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:27:31.55331124Z
01HW66TXQ5ZFBFEQ2R665STNKA,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.557317315Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.557317315Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.557317315Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:27:31.557317315Z
01HW66TXQ9CPCTYMVPWA3QTW8R,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:27:31.561283932Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:27:31.561283932Z,01HW66S28EAEFQTQBM52G71HSD,2024-04-23T19:27:31.561283932Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:27:31.561283932Z
01HW66VV3QFFJMRVXM4YEHESX6,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.655292051Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.655292051Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.655292051Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:28:01.655292051Z
01HW66VV3VVXT8KYPK0EDF85KM,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.659580624Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.659580624Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.659580624Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:28:01.659580624Z
01HW66VV411M72N0TAYSQB20EF,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.665321036Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.665321036Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.665321036Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:28:01.665321036Z
01HW66VV45ND9658XNQY0MAQ23,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:01.669799584Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:01.669799584Z,01HW66S28D8VSKFM1EJAJW49A4,2024-04-23T19:28:01.669799584Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:28:01.669799584Z
01HW66WRHJ5SXTWCRWJMZFHDG6,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.794871177Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.794871177Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.794871177Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:28:31.794871177Z
01HW66WRHWSKSC80XC57SYH4QF,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.804480703Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.804480703Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.804480703Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:28:31.804480703Z
01HW66WRJ30PK4DB8Q9MT8YX2K,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:31.811204725Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:31.811204725Z,01HW66S28EAEFQTQBM6742N4JD,2024-04-23T19:28:31.811204725Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:28:31.811204725Z
