id,emojiArray,emojiArrayLastChangedAt,participantID,participantIDLastChangedAt,exitStep,exitStepLastChangedAt,treatment,treatmentLastChangedAt,exitSurvey,exitSurveyLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,recipient,recipientLastChangedAt,treatmentName,treatmentNameLastChangedAt,name,nameLastChangedAt,introDone,introDoneLastChangedAt,intro,introLastChangedAt,urlParams,urlParamsLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt
01HWDP9V69T71HA415X8044TBK,"[""🐿️"",""                                   "",""🐇"",""🐿️"",""🐇"",""🐿️""]",2024-04-26T17:19:32.871502101Z,01HWDP9TWGHA2MJWBH5D0FDCG2,2024-04-26T17:12:30.153713829Z,1,2024-04-26T17:29:49.360607595Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:12:30.16185769Z,"{""age"":""39"",""gender"":""f"",""strength"":""medium"",""fair"":""yes"",""feedback"":""no problems everything was smooth"",""education"":""other"",""teammates"":""yes"",""notes"":""a little"",""politics"":""left"",""geo"":""Canada"",""ethnicity"":""white""}",2024-04-26T17:29:49.364220506Z,5f5985c9d9859b1e25df4f85,2024-04-26T17:12:30.153713829Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:28:05.064155908Z,rerun-interactive-0.3,2024-04-26T17:12:30.16185769Z,player 1,2024-04-26T17:19:32.871502101Z,true,2024-04-26T17:16:05.380232435Z,4,2024-04-26T17:15:17.447968352Z,{},2024-04-26T17:12:30.318276844Z,game ended,2024-04-26T17:28:47.515390163Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:12:30.16185769Z
01HWDPE8AYQPY2SM83HVFFP96X,"[""🐿️"",""🐇"",""                                   "",""🐿️""]",2024-04-26T17:19:32.871502101Z,01HWDPE7V9NZY8AWECBCMSW8JZ,2024-04-26T17:14:54.6867425Z,1,2024-04-26T17:30:14.189511478Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:14:54.693929079Z,"{""age"":""36"",""gender"":""female"",""strength"":""the first round i didn't quite get it but after that i understood it completely"",""fair"":""yes"",""feedback"":""no problems thank you"",""education"":""master"",""teammates"":""yes i think so i have no reason to believe they weren't honest"",""notes"":""yes"",""politics"":""left"",""geo"":""Canada"",""ethnicity"":""west asian""}",2024-04-26T17:30:14.210837936Z,661ab2c9342489aadb5cdff2,2024-04-26T17:14:54.6867425Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:28:05.064155908Z,rerun-interactive-0.3,2024-04-26T17:14:54.693929079Z,player 2,2024-04-26T17:19:32.871502101Z,true,2024-04-26T17:18:56.653317505Z,4,2024-04-26T17:18:14.04629776Z,{},2024-04-26T17:14:54.989478078Z,game ended,2024-04-26T17:28:47.515390163Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:14:54.693929079Z
01HWDPEZT17ZHDNE3SAP40H03W,,,01HWDPEZ73WSET9RNBY2P1A33W,2024-04-26T17:15:18.722022151Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,,,5bfbca46f88f3900014afeae,2024-04-26T17:15:18.722022151Z,,,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,,,,,1,2024-04-26T17:15:22.280061465Z,{},2024-04-26T17:15:19.029558573Z,no more games,2024-04-26T18:44:09.519832664Z,,2024-04-26T17:27:19.332261308Z
01HWDPFP7X58ZAGJSQJ4BGBY3C,,,01HWDPFNA09EHJW6FG2XB50595,2024-04-26T17:15:41.693970155Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,,,5cec19ae90bfb10018ab2f09,2024-04-26T17:15:41.693970155Z,,,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,,,,,1,2024-04-26T17:15:46.584729494Z,{},2024-04-26T17:15:42.172559649Z,no more games,2024-04-26T18:44:09.519832664Z,,2024-04-26T17:27:19.332261308Z
01HWDPFSB24HBGGCPWC4Z908SA,"[""🐇"",""🐿️"",""                                   "",""🐿️"",""🐿️"",""🐿️"",""🐇""]",2024-04-26T17:19:32.871502101Z,01HWDPFS3RJ9PRMQN5993J0FBP,2024-04-26T17:15:44.86609303Z,1,2024-04-26T17:32:25.605965892Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:15:44.874750092Z,"{""age"":""32"",""gender"":""Male"",""strength"":""Well, I would say my simplified answers, though I hadn't noticed, that of course I would have the same animals in my yard the whole time till a couple rounds in. may have not read that tid bit clearly."",""fair"":""Sure, time well spent."",""feedback"":""I did notice I was not scaling the slider in the right direction for the first few rounds.\nI kept putting it toward the rabbit, assuming it meant LESS of them, and was clearly wrong. I apologize. :("",""education"":""high-school"",""teammates"":""Seemed so. though I wasn't given more than the amounts. Why wouldn't they want to help also earn a bonus?"",""notes"":""Mental ones, yes. Eg, \""a third were rabbits, a third were squirrels\"" to determine an average."",""politics"":""Left/Liberal"",""geo"":""Canadian"",""ethnicity"":""Caucasian""}",2024-04-26T17:32:25.602258938Z,64e39b464db86f84b3743112,2024-04-26T17:15:44.86609303Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:28:05.064155908Z,rerun-interactive-0.3,2024-04-26T17:15:44.874750092Z,player 3,2024-04-26T17:19:32.871502101Z,true,2024-04-26T17:18:24.401474416Z,4,2024-04-26T17:18:14.119008252Z,{},2024-04-26T17:15:44.987850843Z,game ended,2024-04-26T17:28:47.515390163Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:15:44.874750092Z
01HWDPGN7MDBHRD24V3VKPFTWY,"[""🐿️"",""🐿️"",""                                   "",""🐿️"",""🐿️"",""🐿️"",""🐇""]",2024-04-26T17:19:32.871502101Z,01HWDPGMEX37THVF0YZ5CABBEK,2024-04-26T17:16:13.428645608Z,1,2024-04-26T17:30:00.069830499Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:16:13.437031171Z,"{""age"":""55"",""gender"":""female"",""strength"":""same as others"",""fair"":""ok"",""feedback"":""none"",""education"":""master"",""teammates"":""hope so"",""notes"":""no"",""politics"":""left"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-26T17:30:00.064971249Z,62b2d042ae6609abd802aa95,2024-04-26T17:16:13.428645608Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:28:05.064155908Z,rerun-interactive-0.3,2024-04-26T17:16:13.437031171Z,player 4,2024-04-26T17:19:32.871502101Z,true,2024-04-26T17:19:32.744463106Z,4,2024-04-26T17:19:04.856233346Z,{},2024-04-26T17:16:13.901708876Z,game ended,2024-04-26T17:28:47.515390163Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:16:13.437031171Z
01HWDPHVF43M3HESZXZVXGKGHA,,,01HWDPHV34VMANA4BECVYZ6HJT,2024-04-26T17:16:52.580444939Z,,,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,,,64847582d222606dc6560f62,2024-04-26T17:16:52.580444939Z,,,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,,,,,1,2024-04-26T17:16:58.625818087Z,{},2024-04-26T17:16:52.76053778Z,no more games,2024-04-26T18:44:09.519832664Z,,2024-04-26T17:27:19.332261308Z
01HWDPJTZD33DHCRYYMJNAF1WW,"[""🐿️"",""                                   "",""🐿️"",""🐿️"",""🐇"",""🐇"",""🐿️"",""🐿️""]",2024-04-26T17:23:06.522816079Z,01HWDPJTM2DXJ9N1YVJGTMF3P2,2024-04-26T17:17:24.845173672Z,1,2024-04-26T17:35:28.951890334Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:19:32.77059899Z,"{""age"":""28"",""gender"":""female"",""strength"":""I was able to add the numbers"",""fair"":""Yes"",""feedback"":""I got confused with the slider the first 2 rounds and accidentally said there were more rabbits when I meant more squirrels "",""education"":""bachelor"",""teammates"":""Yes, I think so "",""notes"":""Yes I added the numbers"",""politics"":""left"",""geo"":""Canada"",""ethnicity"":""white""}",2024-04-26T17:35:28.947452367Z,5d1684b485233900157040d6,2024-04-26T17:17:24.845173672Z,01HWDPMJXT0DSFHR062ZN357Q1,2024-04-26T17:33:01.876637891Z,rerun-interactive-0.3,2024-04-26T17:19:32.77059899Z,player 1,2024-04-26T17:23:06.522816079Z,true,2024-04-26T17:20:12.752701779Z,4,2024-04-26T17:19:59.989852631Z,{},2024-04-26T17:17:25.042256375Z,game ended,2024-04-26T17:33:51.074431725Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:19:32.77059899Z
01HWDPKZATVN0QTN2M84QNQ0AR,"[""                                   "",""🐇"",""🐿️""]",2024-04-26T17:27:19.461445155Z,01HWDPKYQF63NWKRVH7TPXB6D9,2024-04-26T17:18:02.074126655Z,1,2024-04-26T17:38:32.119389778Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,"{""age"":""31"",""gender"":""male"",""strength"":""Good"",""fair"":""Yes"",""feedback"":""N/A"",""education"":""bachelor"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""N/A"",""geo"":""Bangladesi"",""ethnicity"":""asian""}",2024-04-26T17:38:32.111229567Z,64010e43ff91cfdc0b474188,2024-04-26T17:18:02.074126655Z,01HWDPR8V8AFPCN63VZ0RRMWFE,2024-04-26T17:36:01.899288096Z,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,player 1,2024-04-26T17:27:19.461445155Z,true,2024-04-26T17:27:19.323206622Z,4,2024-04-26T17:27:11.683746215Z,{},2024-04-26T17:18:02.39273251Z,game ended,2024-04-26T17:36:47.97370528Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:23:06.435788254Z
01HWDPMJXT0DSFHR062ZN357Q1,"[""🐿️"",""                                   "",""🐇""]",2024-04-26T17:23:06.522816079Z,01HWDPMJ8EYX0KJ42DWFMC3BV3,2024-04-26T17:18:22.138235075Z,1,2024-04-26T17:35:27.211911127Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:19:32.77059899Z,"{""age"":""64"",""gender"":""female"",""strength"":""fair"",""fair"":""I hope so"",""feedback"":""none"",""education"":""high-school"",""teammates"":""I hope so"",""notes"":""yes"",""politics"":""slightly left of centre"",""geo"":""scotland"",""ethnicity"":""white british""}",2024-04-26T17:35:27.207731581Z,577e3a5025cb71000128727e,2024-04-26T17:18:22.138235075Z,01HWDPRJVW83N44JFVSA3J5HTY,2024-04-26T17:33:01.876637891Z,rerun-interactive-0.3,2024-04-26T17:19:32.77059899Z,player 2,2024-04-26T17:23:06.522816079Z,true,2024-04-26T17:21:02.964877598Z,4,2024-04-26T17:20:58.499611086Z,{},2024-04-26T17:18:22.475694785Z,game ended,2024-04-26T17:33:51.074431725Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:19:32.77059899Z
01HWDPR8V8AFPCN63VZ0RRMWFE,"[""🐿️"",""                                   "",""🐿️"",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐿️"",""🐿️""]",2024-04-26T17:27:19.461445155Z,01HWDPR8HDCJCERZQAFREZ7D6A,2024-04-26T17:20:22.888757997Z,1,2024-04-26T17:37:35.527026124Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,"{""age"":""24"",""gender"":""female"",""strength"":""being good at fractions"",""fair"":""yes"",""feedback"":"""",""education"":""master"",""teammates"":""yes"",""notes"":""no"",""politics"":""liberal"",""geo"":""canadian"",""ethnicity"":""white""}",2024-04-26T17:37:35.535471889Z,65352f2e8ba3fc333c6e5735,2024-04-26T17:20:22.888757997Z,01HWDPS8HFRDXXW6RJM4XMBZYX,2024-04-26T17:36:01.899288096Z,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,player 2,2024-04-26T17:27:19.461445155Z,true,2024-04-26T17:25:57.870577595Z,4,2024-04-26T17:25:50.552634168Z,{},2024-04-26T17:20:23.052590509Z,game ended,2024-04-26T17:36:47.97370528Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:23:06.435788254Z
01HWDPRJVW83N44JFVSA3J5HTY,"[""                                   "",""🐇"",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""🐿️"",""🐿️""]",2024-04-26T17:23:06.522816079Z,01HWDPRJ5WC96ZANC8THAKART3,2024-04-26T17:20:33.148092356Z,1,2024-04-26T17:34:15.239109555Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:20:33.159867524Z,"{""age"":""23"",""gender"":""Male"",""strength"":""Good"",""fair"":""Yeah"",""feedback"":"""",""education"":""high-school"",""teammates"":""No"",""notes"":""Yes"",""politics"":"""",""geo"":"""",""ethnicity"":""White""}",2024-04-26T17:34:15.234804337Z,5d1c92bc5f54410001ef8f0c,2024-04-26T17:20:33.148092356Z,01HWDPSGQWRP9NBEQ3DQX4ZZWW,2024-04-26T17:33:01.876637891Z,rerun-interactive-0.3,2024-04-26T17:20:33.159867524Z,player 3,2024-04-26T17:23:06.522816079Z,true,2024-04-26T17:22:03.930860531Z,4,2024-04-26T17:22:01.208207936Z,{},2024-04-26T17:20:33.501463747Z,game ended,2024-04-26T17:33:51.074431725Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:20:33.159867524Z
01HWDPS8HFRDXXW6RJM4XMBZYX,"[""                                   "",""🐿️"",""🐿️"",""🐿️"",""🐇"",""🐇""]",2024-04-26T17:27:19.461445155Z,01HWDPS80ZEWZWQ9EFJAB2SVHE,2024-04-26T17:20:55.34331999Z,1,2024-04-26T17:38:35.120450634Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,"{""age"":""35"",""gender"":""Female"",""strength"":""Quick efficient answers"",""fair"":""Yes"",""feedback"":""Fun! I hope we get the answer"",""education"":""bachelor"",""teammates"":""I don't know if they were telling the truth but I had no reason to suspect otherwise. Everyone is incentivized to reach the same conclusion."",""notes"":""No"",""politics"":""Liberal"",""geo"":""Canadian"",""ethnicity"":""White""}",2024-04-26T17:38:35.110961168Z,5c54140cf46d48000134cda3,2024-04-26T17:20:55.34331999Z,01HWDPSNMNQ8X9PMF6B7BVBCHF,2024-04-26T17:36:01.899288096Z,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,player 3,2024-04-26T17:27:19.461445155Z,true,2024-04-26T17:23:18.086275325Z,4,2024-04-26T17:23:13.540538677Z,{},2024-04-26T17:20:55.643760908Z,game ended,2024-04-26T17:36:47.97370528Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:23:06.435788254Z
01HWDPSGQWRP9NBEQ3DQX4ZZWW,"[""                                   "",""🐿️"",""🐿️""]",2024-04-26T17:23:06.522816079Z,01HWDPSGK43QM811VTFYEQZ868,2024-04-26T17:21:03.740916397Z,1,2024-04-26T17:35:20.712316289Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:21:03.75343845Z,"{""age"":""21"",""gender"":""Male"",""strength"":""My ability to accurately describe the squirrel population in my yard"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Most of them where good, one did not send anything"",""notes"":""It seemed to be about 75 percent squirrels consistently "",""politics"":""Left"",""geo"":""United States of America"",""ethnicity"":""White/Caucasian""}",2024-04-26T17:35:20.707679484Z,6172238766731e5a4cf05575,2024-04-26T17:21:03.740916397Z,01HWDPJTZD33DHCRYYMJNAF1WW,2024-04-26T17:33:01.876637891Z,rerun-interactive-0.3,2024-04-26T17:21:03.75343845Z,player 4,2024-04-26T17:23:06.522816079Z,true,2024-04-26T17:23:06.40024556Z,4,2024-04-26T17:22:59.994646528Z,{},2024-04-26T17:21:03.828723171Z,game ended,2024-04-26T17:33:51.074431725Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:21:03.75343845Z
01HWDPSNMNQ8X9PMF6B7BVBCHF,"[""🐇"",""🐿️"",""                                   "",""🐿️"",""🐿️"",""🐿️""]",2024-04-26T17:27:19.461445155Z,01HWDPSN9BMTQ02GKJRDCYMRTC,2024-04-26T17:21:08.75783541Z,1,2024-04-26T17:37:59.889151036Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-26T17:23:06.435788254Z,"{""age"":""21"",""gender"":""Male"",""strength"":""i was accurate in relaying what i saw"",""fair"":""yes, very"",""feedback"":""no problems, thank you for the opportunity!"",""education"":""bachelor"",""teammates"":""i found them to be good co-players"",""notes"":""i did not but i remember what they said"",""politics"":"""",""geo"":"""",""ethnicity"":""White""}",2024-04-26T17:37:59.878132096Z,655b76f7266d0804924f2da1,2024-04-26T17:21:08.75783541Z,01HWDPKZATVN0QTN2M84QNQ0AR,2024-04-26T17:36:01.899288096Z,rerun-interactive-0.3,2024-04-26T17:23:06.435788254Z,player 4,2024-04-26T17:27:19.461445155Z,true,2024-04-26T17:23:06.417961111Z,4,2024-04-26T17:23:02.820303771Z,{},2024-04-26T17:21:08.946109647Z,game ended,2024-04-26T17:36:47.97370528Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:23:06.435788254Z
