id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HVSW0C0P6FXXM8W1MT8ACHP1,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.518281404Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.518281404Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:22.518281404Z,01HVSW0BNWS1VZP2N478E7G8H0,2024-04-19T00:27:22.518281404Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:27:22.518281404Z,,,,,,
01HVSW0C0TF6N8WKAYQ4Z4G0YG,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.522263912Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.522263912Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:22.522263912Z,01HVSW0BNWS1VZP2N478E7G8H0,2024-04-19T00:27:22.522263912Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:27:22.522263912Z,,,,,,
01HVSW0C0YJ0N2NZ8B53C9JVQM,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.526792007Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.526792007Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:22.526792007Z,01HVSW0BNWS1VZP2N478E7G8H0,2024-04-19T00:27:22.526792007Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:27:22.526792007Z,,,,,,
01HVSW0C12RZ6BP5NNTD678HDY,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:22.530710321Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:22.530710321Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:22.530710321Z,01HVSW0BNWS1VZP2N478E7G8H0,2024-04-19T00:27:22.530710321Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:27:22.530710321Z,,,,,,
01HVSW19BJZ5AZD10T8S0AN568,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:52.562087577Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:52.562087577Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:52.562087577Z,01HVSW0BNX4VAG5PY4MDR5YNHH,2024-04-19T00:27:52.562087577Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:27:52.562087577Z,74,2024-04-19T00:28:14.253094602Z,22,2024-04-19T00:28:14.253864008Z,true,2024-04-19T00:28:14.448034673Z
01HVSW19BP8Z4CHZ5CA8HT3A26,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:52.566465573Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:52.566465573Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:52.566465573Z,01HVSW0BNX4VAG5PY4MDR5YNHH,2024-04-19T00:27:52.566465573Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:27:52.566465573Z,86,2024-04-19T00:28:14.858109701Z,82,2024-04-19T00:28:14.858728944Z,true,2024-04-19T00:28:14.864941216Z
01HVSW19BSM1AC17J7TKV3D4EV,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:52.569879157Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:52.569879157Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:52.569879157Z,01HVSW0BNX4VAG5PY4MDR5YNHH,2024-04-19T00:27:52.569879157Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:27:52.569879157Z,27,2024-04-19T00:28:10.460371556Z,36,2024-04-19T00:28:10.45970475Z,true,2024-04-19T00:28:10.46074267Z
01HVSW19BXR4M68YCAC294V03W,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:27:52.573358242Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:27:52.573358242Z,01HVSW0BD55KN2HT103R4VPK9F,2024-04-19T00:27:52.573358242Z,01HVSW0BNX4VAG5PY4MDR5YNHH,2024-04-19T00:27:52.573358242Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:27:52.573358242Z,100,2024-04-19T00:28:05.705554606Z,50,2024-04-19T00:28:05.718837058Z,true,2024-04-19T00:28:05.757515158Z
01HVSW1Z6PMJTGATXBC9QK90J7,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:14.934668445Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:14.934668445Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:14.934668445Z,01HVSW0BNN2CY17E9MXDCS0ZJC,2024-04-19T00:28:14.934668445Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:28:14.934668445Z,,,,,,
01HVSW1Z6TES5BBZ3CH91P0SCE,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:28:14.938677064Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:28:14.938677064Z,01HVSW0BD626EF60FJEW68PS15,2024-04-19T00:28:14.938677064Z,01HVSW0BNN2CY17E9MXDCS0ZJC,2024-04-19T00:28:14.938677064Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:28:14.938677064Z,,,,,,
