"N1","N2","N3","N4","Total_Percent","Total_information","true_probability","mle_distance"
11,30,30,29,100,5,0.7,0
22,26,26,26,100,5,0.7,0
33,22,22,23,100,5,0.7,0
44,19,19,18,100,5,0.7,0
56,15,15,14,100,5,0.7,0
67,11,11,11,100,5,0.7,0
78,7,7,8,100,5,0.7,0
89,4,4,3,100,5,0.7,0
11,30,30,29,100,11,0.7,0
22,26,26,26,100,11,0.7,0
33,22,22,23,100,11,0.7,0
44,19,19,18,100,11,0.7,0
56,15,15,14,100,11,0.7,0
67,11,11,11,100,11,0.7,0
78,7,7,8,100,11,0.7,0
89,4,4,3,100,11,0.7,0
11,30,30,29,100,17,0.7,0
22,26,26,26,100,17,0.7,0
33,22,22,23,100,17,0.7,0
44,19,19,18,100,17,0.7,0
56,15,15,14,100,17,0.7,0
67,11,11,11,100,17,0.7,0
78,7,7,8,100,17,0.7,0
89,4,4,3,100,17,0.7,0
11,30,30,29,100,23,0.7,0
22,26,26,26,100,23,0.7,0
33,22,22,23,100,23,0.7,0
44,19,19,18,100,23,0.7,0
56,15,15,14,100,23,0.7,0
67,11,11,11,100,23,0.7,0
78,7,7,8,100,23,0.7,0
89,4,4,3,100,23,0.7,0
11,30,30,29,100,29,0.7,0
22,26,26,26,100,29,0.7,0
33,22,22,23,100,29,0.7,0
44,19,19,18,100,29,0.7,0
56,15,15,14,100,29,0.7,0
67,11,11,11,100,29,0.7,0
78,7,7,8,100,29,0.7,0
89,4,4,3,100,29,0.7,0
11,30,30,29,100,35,0.7,0
22,26,26,26,100,35,0.7,0
33,22,22,23,100,35,0.7,0
44,19,19,18,100,35,0.7,0
56,15,15,14,100,35,0.7,0
67,11,11,11,100,35,0.7,0
78,7,7,8,100,35,0.7,0
89,4,4,3,100,35,0.7,0
11,30,30,29,100,5,0.7,0.14
22,26,26,26,100,5,0.7,0.14
33,22,22,23,100,5,0.7,0.14
44,19,19,18,100,5,0.7,0.14
56,15,15,14,100,5,0.7,0.14
67,11,11,11,100,5,0.7,0.14
78,7,7,8,100,5,0.7,0.14
89,4,4,3,100,5,0.7,0.14
11,30,30,29,100,11,0.7,0.14
22,26,26,26,100,11,0.7,0.14
33,22,22,23,100,11,0.7,0.14
44,19,19,18,100,11,0.7,0.14
56,15,15,14,100,11,0.7,0.14
67,11,11,11,100,11,0.7,0.14
78,7,7,8,100,11,0.7,0.14
89,4,4,3,100,11,0.7,0.14
11,30,30,29,100,17,0.7,0.14
22,26,26,26,100,17,0.7,0.14
33,22,22,23,100,17,0.7,0.14
44,19,19,18,100,17,0.7,0.14
56,15,15,14,100,17,0.7,0.14
67,11,11,11,100,17,0.7,0.14
78,7,7,8,100,17,0.7,0.14
89,4,4,3,100,17,0.7,0.14
11,30,30,29,100,23,0.7,0.14
22,26,26,26,100,23,0.7,0.14
33,22,22,23,100,23,0.7,0.14
44,19,19,18,100,23,0.7,0.14
56,15,15,14,100,23,0.7,0.14
67,11,11,11,100,23,0.7,0.14
78,7,7,8,100,23,0.7,0.14
89,4,4,3,100,23,0.7,0.14
11,30,30,29,100,29,0.7,0.14
22,26,26,26,100,29,0.7,0.14
33,22,22,23,100,29,0.7,0.14
44,19,19,18,100,29,0.7,0.14
56,15,15,14,100,29,0.7,0.14
67,11,11,11,100,29,0.7,0.14
78,7,7,8,100,29,0.7,0.14
89,4,4,3,100,29,0.7,0.14
11,30,30,29,100,35,0.7,0.14
22,26,26,26,100,35,0.7,0.14
33,22,22,23,100,35,0.7,0.14
44,19,19,18,100,35,0.7,0.14
56,15,15,14,100,35,0.7,0.14
67,11,11,11,100,35,0.7,0.14
78,7,7,8,100,35,0.7,0.14
89,4,4,3,100,35,0.7,0.14
11,30,30,29,100,5,0.7,0.28
22,26,26,26,100,5,0.7,0.28
33,22,22,23,100,5,0.7,0.28
44,19,19,18,100,5,0.7,0.28
56,15,15,14,100,5,0.7,0.28
67,11,11,11,100,5,0.7,0.28
78,7,7,8,100,5,0.7,0.28
89,4,4,3,100,5,0.7,0.28
11,30,30,29,100,11,0.7,0.28
22,26,26,26,100,11,0.7,0.28
33,22,22,23,100,11,0.7,0.28
