gameID,playerID,nRabbits,nSquirrels
1,1,4,3
1,2,2,0
1,3,3,0
1,4,5,2
2,5,6,1
2,6,2,1
2,7,6,1
2,8,5,4
3,9,13,2
3,10,11,3
3,11,4,5
3,12,1,0
4,13,1,3
4,14,6,0
4,15,13,5
4,16,7,1
5,17,8,1
5,18,18,7
5,19,1,0
5,20,0,2
6,21,15,4
6,22,1,1
6,23,14,2
6,24,0,3
7,25,4,3
7,26,7,2
7,27,18,4
7,28,1,1
8,29,1,0
8,30,10,4
8,31,10,5
8,32,8,1
9,33,4,0
9,34,2,3
9,35,9,3
9,36,3,1
10,37,8,3
10,38,3,1
10,39,3,0
10,40,7,4
11,41,3,0
11,42,15,6
11,43,4,3
11,44,2,0
12,45,15,8
12,46,1,0
12,47,7,1
12,48,2,0
13,49,5,1
13,50,18,7
13,51,1,1
13,52,3,0
14,53,8,2
14,54,1,1
14,55,7,3
14,56,11,4
15,57,12,7
15,58,6,2
15,59,2,0
15,60,9,1
16,61,1,0
16,62,15,5
16,63,4,2
16,64,6,2
17,65,1,0
17,66,5,4
17,67,5,1
17,68,3,0
18,69,1,1
18,70,11,5
18,71,13,4
18,72,5,0
19,73,4,2
19,74,2,1
19,75,13,4
19,76,5,1
20,77,16,6
20,78,4,0
20,79,1,0
20,80,7,4
21,81,2,2
21,82,0,1
21,83,3,1
21,84,10,2
22,85,8,3
22,86,0,1
22,87,8,3
22,88,3,0
23,89,3,1
23,90,1,0
23,91,8,2
23,92,0,1
24,93,3,3
24,94,7,1
24,95,5,1
24,96,11,4
25,97,3,2
25,98,6,2
25,99,3,1
25,100,10,3
26,101,12,6
26,102,1,1
26,103,9,1
26,104,3,1
27,105,10,2
27,106,1,0
27,107,1,1
27,108,0,1
28,109,1,0
28,110,4,1
28,111,8,4
28,112,2,0
29,113,2,0
29,114,1,1
29,115,10,3
29,116,9,4
30,117,7,2
30,118,3,1
30,119,3,1
30,120,3,2
31,121,6,3
31,122,11,2
31,123,0,1
31,124,9,3
32,125,13,4
32,126,7,2
32,127,1,3
32,128,5,0
33,129,0,1
33,130,5,1
33,131,9,4
33,132,2,0
34,133,1,0
34,134,3,0
34,135,13,7
34,136,9,2
35,137,3,4
35,138,7,2
35,139,9,2
35,140,4,0
36,141,1,1
36,142,8,4
36,143,9,1
36,144,9,3
37,145,5,2
37,146,1,0
37,147,6,3
37,148,1,0
38,149,17,7
38,150,4,1
38,151,1,0
38,152,2,0
39,153,1,0
39,154,5,0
39,155,8,7
39,156,10,2
40,157,4,0
40,158,5,2
40,159,2,1
40,160,7,4
41,161,1,0
41,162,13,4
41,163,7,3
41,164,3,2
42,165,2,0
42,166,13,4
42,167,9,3
42,168,3,2
43,169,2,0
43,170,7,3
43,171,2,0
43,172,1,1
44,173,5,2
44,174,1,0
44,175,6,5
44,176,15,2
45,177,5,1
45,178,4,1
45,179,2,3
45,180,1,0
46,181,10,2
46,182,1,4
46,183,9,2
46,184,2,0
47,185,20,8
47,186,2,0
47,187,3,0
47,188,5,2
48,189,4,1
48,190,5,0
48,191,7,5
48,192,4,1
49,193,4,0
49,194,1,0
49,195,1,1
49,196,9,5
50,197,4,1
50,198,1,1
50,199,4,3
50,200,4,0
51,201,5,0
51,202,5,2
51,203,1,1
51,204,2,2
52,205,2,1
52,206,0,3
52,207,13,3
52,208,4,0
53,209,0,1
53,210,9,2
53,211,4,1
53,212,11,4
54,213,10,3
54,214,4,3
54,215,4,1
54,216,3,0
55,217,1,0
55,218,3,0
55,219,1,1
55,220,16,6
56,221,2,1
56,222,3,1
56,223,16,5
56,224,2,1
57,225,2,1
57,226,9,2
57,227,3,1
57,228,1,1
58,229,8,3
58,230,4,0
58,231,2,1
58,232,6,3
59,233,1,1
59,234,6,2
59,235,12,4
59,236,1,0
60,237,5,2
60,238,1,1
60,239,3,1
60,240,9,2
61,241,7,5
61,242,2,0
61,243,6,0
61,244,3,2
62,245,11,6
62,246,10,2
62,247,1,0
62,248,1,0
63,249,0,1
63,250,8,3
63,251,1,0
63,252,9,2
64,253,5,2
64,254,5,2
64,255,4,0
64,256,1,1
65,257,2,1
65,258,0,1
65,259,9,2
65,260,10,4
66,261,10,5
66,262,2,0
66,263,2,0
66,264,2,1
67,265,3,1
67,266,6,0
67,267,1,0
67,268,2,4
68,269,5,2
68,270,1,0
68,271,3,0
68,272,6,3
69,273,7,2
69,274,2,1
69,275,2,1
69,276,7,2
70,277,0,2
70,278,3,0
70,279,1,0
70,280,11,4
71,281,2,0
71,282,1,0
71,283,1,1
71,284,14,5
72,285,6,3
72,286,2,0
72,287,6,3
72,288,2,0
73,289,4,1
73,290,10,4
73,291,1,0
73,292,3,1
74,293,2,1
74,294,1,2
74,295,1,0
74,296,8,1
75,297,16,3
75,298,4,1
75,299,1,0
75,300,3,4
76,301,1,1
76,302,8,3
76,303,1,0
76,304,3,1
77,305,2,2
77,306,14,4
77,307,7,2
77,308,6,2
78,309,7,4
78,310,3,1
78,311,5,2
78,312,9,2
79,313,1,0
79,314,3,3
79,315,4,1
79,316,6,1
80,317,14,5
80,318,1,1
80,319,3,0
80,320,1,1
81,321,9,2
81,322,1,1
81,323,3,2
81,324,2,1
82,325,4,2
82,326,7,0
82,327,4,5
82,328,3,0
83,329,5,0
83,330,2,0
83,331,2,2
83,332,2,2
84,333,0,1
84,334,10,2
84,335,1,2
84,336,1,0
85,337,5,2
85,338,8,3
85,339,5,2
85,340,3,0
86,341,1,0
86,342,1,0
86,343,7,3
86,344,8,3
87,345,0,2
87,346,13,1
87,347,7,1
87,348,4,5
88,349,4,0
88,350,9,3
88,351,1,0
88,352,9,5
89,353,1,0
89,354,8,5
89,355,2,0
89,356,1,0
90,357,1,1
90,358,7,4
90,359,2,0
90,360,3,0
91,361,6,3
91,362,4,0
91,363,1,0
91,364,2,2
92,365,4,2
92,366,9,3
92,367,9,1
92,368,1,2
93,369,3,0
93,370,4,3
93,371,1,0
93,372,4,1
94,373,1,1
94,374,5,2
94,375,1,1
94,376,12,3
95,377,2,3
95,378,12,3
95,379,0,1
95,380,4,0
96,381,6,3
96,382,1,1
96,383,11,3
96,384,2,0
97,385,6,4
97,386,5,2
97,387,7,1
97,388,3,0
98,389,0,1
98,390,1,1
98,391,5,4
98,392,20,3
99,393,3,0
99,394,3,2
99,395,20,6
99,396,4,2
100,397,3,3
100,398,1,0
